Drug Type,Under 10,10--12,13 14,15,16,17,18,19,20,21,22,23,24,25 29,30 34,35 39,40 44,45 49,50 54,55 59,60 64,65 & Over,Total
“Crack” Cocaine ,1,1,19,22,46,46,192,183,198,160,141,133,103,484,477,535,427,220,90,28,17,9,3532
Cocaine ,0,1,5,7,14,42,63,90,88,64,76,71,70,267,263,287,191,105,45,11,5,1,1766
Hashish ,0,0,0,0,0,0,2,4,0,0,1,1,0,2,2,0,1,1,2,0,0,0,16
Heroin ,0,0,0,1,1,1,11,16,25,23,22,21,25,106,100,92,92,62,26,3,8,0,635
Marijuana ,2,20,242,337,557,810,1378,1365,1137,939,777,587,484,1680,1117,992,627,309,121,52,17,9,13559
Morphine ,0,0,0,0,1,2,2,0,1,3,1,2,1,5,14,7,3,5,4,1,0,0,52
Opium ,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,7
Other Narcotic ,0,2,16,8,5,5,9,19,15,15,21,21,11,53,73,85,103,369,9,3,3,6,851
LSD ,0,0,2,1,2,7,6,3,6,2,2,3,0,4,0,0,0,1,0,0,0,0,39
PCP ,0,0,0,0,0,0,0,0,2,4,1,1,0,2,0,2,3,0,0,0,0,0,15
Other Halucinogens ,0,0,2,1,1,2,4,7,4,2,3,1,3,5,0,2,0,0,0,0,1,0,38
Amphetamines/ Methamphetamines ,0,0,1,2,1,2,4,8,11,12,8,14,17,36,33,25,18,9,1,1,0,0,203
Other Stimulants ,0,0,1,0,0,3,0,0,3,1,2,1,2,6,6,2,5,3,1,1,0,0,37
Barbituates ,0,0,1,2,0,0,0,0,1,1,0,0,0,2,1,8,0,0,0,1,0,0,17
Other Depressants ,0,0,1,1,0,1,1,0,4,1,2,1,0,6,9,7,8,3,1,0,1,0,47
Other Drugs ,1,3,10,5,8,4,8,3,9,4,5,6,4,24,33,27,12,6,5,2,5,1,185
Unknown Drug Type ,0,2,30,53,63,75,163,180,146,115,123,95,72,292,221,248,163,85,31,14,7,4,2182
TOTAL ,4,29,330,441,699,1000,1844,1878,1650,1347,1185,959,792,2975,2350,2320,1653,1178,336,117,64,30,23181
Does not include the 154 drug equipment violation arrests ,,,,,,,,,,,,,,,,,,,,,,,
