Date ,Report Type ,Street ,Zip ,Area ,ED ,N#
7/8/2004,CITIZEN REQUESTED ASSISTANCE ,ASCOT DRIVE ,23693,100,5,246
1/18/2004,"LARCENY,FROM MOTOR VEHICLE ",ACCOMAC TURNING ,23693,100,5,174
1/18/2004,TRESPASSING ,ACCOMAC TURNING ,23693,100,5,174
2/4/2004,"DAMAGE PROPERTY, PRIVATE ",ACCOMAC TURNING ,23693,100,5,174
2/4/2004,"LARCENY,FROM MOTOR VEHICLE ",ACCOMAC TURNING ,23693,100,5,174
4/16/2004,IDENTITY FRAUD ,ADELE COURT ,23693,100,2,198
3/21/2004,"DAMAGE PROPERTY, PRIVATE ",ALFRED COURT ,23693,100,2,279
4/15/2004,"DAMAGE PROPERTY, PRIVATE ",AMERSHAM DRIVE ,23693,100,5,246
7/18/2004,"DAMAGE PROPERTY, PRIVATE ",AMERSHAM DRIVE ,23693,100,5,246
7/18/2004,"LARCENY,FROM MOTOR VEHICLE ",AMERSHAM DRIVE ,23693,100,5,246
7/18/2004,"LARCENY,FROM MOTOR VEHICLE ",AMERSHAM DRIVE ,23693,100,5,246
6/15/2004,"LARCENY,FROM MOTOR VEHICLE ",ANACOSTIA TURN ,23693,100,5,174
6/5/2004,"ASSAULT, SIMPLE, DOMESTIC ",ANDOVER COURT ,23693,100,2,192
6/11/2004,CITIZEN REQUESTED ASSISTANCE ,ANDOVER COURT ,23693,100,2,192
6/30/2004,PETIT LARCENY ,ANDOVER COURT ,23693,100,2,192
1/25/2004,"LARCENY,FROM MOTOR VEHICLE ",AQUIA TURN ,23693,100,5,174
3/7/2004,"DAMAGE PROPERTY, PRIVATE ",ARABIAN CIRCLE ,23693,100,5,246
5/10/2004,"ASSAULT, SIMPLE, DOMESTIC ",ARABIAN CIRCLE ,23693,100,5,246
7/14/2004,PETIT LARCENY ,ARABIAN CIRCLE ,23693,100,5,246
2/29/2004,"LARCENY,FROM MOTOR VEHICLE ",ATOKA TURN ,23693,100,5,174
3/6/2004,RUNAWAY JUVENILE ,AUTUMN WAY ,23693,100,5,56
4/16/2004,CITIZEN REQUESTED ASSISTANCE ,AUTUMN WAY ,23693,100,5,56
6/11/2004,"DAMAGE PROPERTY, PRIVATE ",AUTUMN WAY ,23693,100,5,56
10/14/2015,"DAMAGE PROPERTY, PRIVATE ",BARCLAY ROAD ,23693,100,5,6
1/25/2004,CITIZEN REQUESTED ASSISTANCE ,BARRINGTON LANE ,23693,100,2,4
12/4/2015,"DAMAGE PROPERTY, PRIVATE ",BARRINGTON LANE ,23693,100,2,4
4/3/2004,GRAND LARCENY ,BAYBERRY LANE ,23693,100,5,184
1/9/2004,"ASSAULT, SIMPLE, DOMESTIC ",BELMONT CIRCLE ,23693,100,2,257
1/9/2004,RUNAWAY JUVENILE ,BELMONT CIRCLE ,23693,100,2,257
2/25/2004,CITIZEN REQUESTED ASSISTANCE ,BELMONT CIRCLE ,23693,100,2,257
4/15/2004,PETIT LARCENY ,BELMONT CIRCLE ,23693,100,2,257
5/7/2004,RUNAWAY/MP JUVENILE ,BELMONT CIRCLE ,23693,100,2,257
6/28/2004,PETIT LARCENY ,BELMONT CIRCLE ,23693,100,2,257
8/22/2004,ANNOYING PHONE CALLS ,BELMONT CIRCLE ,23693,100,2,257
10/8/2015,CITIZEN REQUESTED ASSISTANCE ,BELMONT CIRCLE ,23693,100,2,257
12/10/2015,CREDIT CARD FRAUD ,BELMONT CIRCLE ,23693,100,2,257
12/20/2015,GRAND LARCENY ,BELMONT CIRCLE ,23693,100,2,257
3/18/2004,CITIZEN REQUESTED ASSISTANCE ,BETHANY TERRACE ,23693,100,5,208
11/19/2015,TAMPERING WITH VEHICLE ,BETHANY TERRACE ,23693,100,5,208
1/1/2004,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,23693,100,4,197
1/8/2004,"FRAUD, ALL OTHERS ",BIG BETHEL ROAD ,23693,100,4,197
1/20/2004,"ABUSE, NEGLECT OF INCAPACITATED ADULT -SUBSQ OFF ",BIG BETHEL ROAD ,23693,100,4,197
1/20/2004,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BIG BETHEL ROAD ,23693,100,4,197
1/21/2004,GRAND LARCENY ,BIG BETHEL ROAD ,23693,100,4,197
1/26/2004,SEXUAL BATTERY ,BIG BETHEL ROAD ,23693,100,4,197
1/29/2004,EMBEZZLEMENT >=$200 ,BIG BETHEL ROAD ,23693,100,4,197
1/29/2004,GRAND LARCENY ,BIG BETHEL ROAD ,23693,100,4,197
2/1/2004,"LARCENY, SHOPLIFTING ",BIG BETHEL ROAD ,23693,100,4,197
2/2/2004,RUNAWAY JUVENILE ,BIG BETHEL ROAD ,23693,100,4,197
2/3/2004,GRAND LARCENY ,BIG BETHEL ROAD ,23693,100,4,197
2/3/2004,NO DRIVERS LICENSE ,BIG BETHEL ROAD ,23693,100,4,197
2/5/2004,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,23693,100,4,197
2/5/2004,DISORDERLY CONDUCT ,BIG BETHEL ROAD ,23693,100,4,197
2/5/2004,TRESPASS ON CHURCH OR SCHOOL PROPERTY ,BIG BETHEL ROAD ,23693,100,4,197
2/9/2004,THREATEN BODILY HARM ,BIG BETHEL ROAD ,23693,100,4,197
