Date,Offense,Street,Sub,Zip,Area
9/3/2003,CITIZEN REQUESTED ASSISTANCE,ALBACORE DRIVE,126,23692,200
9/20/2003,CITIZEN REQUESTED ASSISTANCE,ALBACORE DRIVE,126,23692,200
9/30/2003,CITIZEN REQUESTED ASSISTANCE,ALBACORE DRIVE,126,23692,200
11/29/2003,CITIZEN REQUESTED ASSISTANCE,ALBACORE DRIVE,126,23692,200
10/14/2003,"DAMAGE PROPERTY, PRIVATE",ALBACORE DRIVE,126,23692,200
9/17/2003,"LARCENY,FROM MOTOR VEHICLE",ALBACORE DRIVE,126,23692,200
8/26/2003,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE",ALBACORE DRIVE,126,23692,200
8/29/2003,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE",ALBACORE DRIVE,126,23692,200
10/4/2003,"ASSAULT, SIMPLE",ALICE COURT,282,23692,200
12/24/2003,"DAMAGE PROPERTY, PRIVATE",ALICE COURT,282,23692,200
4/19/2003,"DAMAGE PROPERTY, PRIVATE",ALLEN HARRIS DRIVE,182,23692,200
4/20/2003,"DAMAGE PROPERTY, PRIVATE",ALLEN HARRIS DRIVE,182,23692,200
4/4/2003,POSSESSION OF MARIJUANA,ALLEN HARRIS DRIVE & OLD YORK HAM,182,23692,200
2/24/2003,"ASSAULT, SIMPLE, DOMESTIC",ALLEN`S MILL ROAD,182,23692,200
7/6/2003,ATTEMPTED SUICIDE,ALLENS MILL ROAD,182,23692,200
2/18/2003,CITIZEN REQUESTED ASSISTANCE,ALLENS MILL ROAD,182,23692,200
2/25/2003,CITIZEN REQUESTED ASSISTANCE,ALLENS MILL ROAD,182,23692,200
11/16/2003,"DAMAGE PROPERTY, PRIVATE",ALLENS MILL ROAD,182,23692,200
11/26/2003,"DAMAGE PROPERTY, PRIVATE",ALLENS MILL ROAD,182,23692,200
11/19/2003,"DAMAGE PROPERTY, PRIVATE",ALLENS MILL ROAD,182,23692,200
8/21/2003,"DAMAGE PROPERTY, PRIVATE",ALLENS MILL ROAD,182,23692,200
1/26/2003,"DAMAGE PROPERTY, PRIVATE",ALLENS MILL ROAD,182,23692,200
8/22/2003,PETIT LARCENY,ALLENS MILL ROAD,182,23692,200
5/8/2003,TRESPASSING,ALLENS MILL ROAD,182,23692,200
5/13/2003,POSSESSION OF MARIJUANA,ALLENS MILL ROAD & WOLFTRAP ROAD,182,23692,200
10/13/2003,CITIZEN REQUESTED ASSISTANCE,ANCHOR DRIVE,185,23692,200
2/13/2003,CITIZEN REQUESTED ASSISTANCE,ANDREWS CROSSING,147,23692,200
4/8/2003,"DAMAGE PROPERTY, PRIVATE",ANDREWS CROSSING,147,23692,200
4/8/2003,TRESPASSING,ANDREWS CROSSING,147,23692,200
7/14/2003,ASSAULT & BATTERY -POLICE OFCR OR FIREFIGHTER,ARTILLERY ROAD,120,23692,200
7/14/2003,BRANDISHING FIREARM,ARTILLERY ROAD,120,23692,200
7/14/2003,"DAMAGE PROPERTY, PRIVATE",ARTILLERY ROAD,120,23692,200
6/10/2003,GRAND LARCENY,ASPEN BLVD,55,23692,200
12/11/2003,IDENTITY FRAUD,ASPEN BLVD,55,23692,200
10/31/2003,CITIZEN REQUESTED ASSISTANCE,AUSTIN POINT,73,23692,100
10/3/2003,"DAMAGE PROPERTY, PRIVATE",BAILEY DRIVE,106,23692,100
9/28/2003,CITIZEN REQUESTED ASSISTANCE,BAILEY ROAD,107,23692,100
6/24/2003,DRUNK IN PUBLIC,BAILEY ROAD,107,23692,100
2/4/2003,ABUSE AND NEGLECT OF CHILDREN,BARCROFT DRIVE,7,23692,200
8/14/2003,CITIZEN REQUESTED ASSISTANCE,BARCROFT DRIVE,7,23692,200
8/8/2003,CITIZEN REQUESTED ASSISTANCE,BARCROFT DRIVE,7,23692,200
1/4/2003,"DAMAGE PROPERTY, PRIVATE",BARCROFT DRIVE,7,23692,200
7/14/2003,"DAMAGE PROPERTY, PRIVATE",BARCROFT DRIVE,7,23692,200
8/14/2003,"LARCENY,FROM MOTOR VEHICLE",BARCROFT DRIVE,7,23692,200
8/14/2003,"LARCENY,FROM MOTOR VEHICLE",BARCROFT DRIVE,7,23692,200
11/5/2003,LOST PROPERTY,BARCROFT DRIVE,7,23692,200
5/13/2003,RUNAWAY JUVENILE,BARCROFT DRIVE,7,23692,200
5/18/2003,RUNAWAY JUVENILE,BARCROFT DRIVE,7,23692,200
3/1/2003,CITIZEN REQUESTED ASSISTANCE,BARFLEUR PLACE,239,23692,100
5/10/2003,PETIT LARCENY,BARFLEUR PLACE,239,23692,100
5/10/2003,TRESPASSING,BARFLEUR PLACE,239,23692,100
3/1/2003,ELUDING POLICE,BARFLUER PLACE,239,23692,100
3/1/2003,MOTOR VEHICLE THEFT,BARFLUER PLACE,239,23692,100
3/1/2003,RECKLESS - GENERAL,BARFLUER PLACE,239,23692,100
7/1/2003,"ASSAULT, SIMPLE, DOMESTIC",BARN SWALLOW RIDGE,76,23692,200
11/3/2003,"DAMAGE PROPERTY, PRIVATE",BARNSWALLOW RIDGE,76,23692,200
12/16/2003,CITIZEN REQUESTED ASSISTANCE,BATTLE ROAD,8,23692,200
12/9/2003,DEATH INVESTIGATION,BATTLE ROAD,8,23692,200
5/26/2003,DRUNK IN PUBLIC,BATTLE ROAD,8,23692,200
5/26/2003,TOBACCO PRODUCTS - POSSESSION OF PRODUCT BY PERSONBATTLE ROAD,,8,23692,200
5/26/2003,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGEBATTLE ROAD,,8,23692,200
5/27/2003,"DAMAGE PROPERTY, PRIVATE",BAYVIEW DRIVE,153,23692,100
6/13/2003,"DAMAGE PROPERTY, PRIVATE",BAYVIEW DRIVE,153,23692,100
8/13/2003,GRAND LARCENY,BEATIES ROAD,187,23692,200
