Name: “Table 1 of 1 on page 30 of 168”,Name: “Table 1 of 1 on page 30 of 168”,Name: “Table 1 of 1 on page 30 of 168”,Name: “Table 1 of 1 on page 30 of 168”,Name: “Table 1 of 1 on page 30 of 168”,Name: “Table 1 of 1 on page 30 of 168”,Name: “Table 1 of 1 on page 30 of 168”,Name: “Table 1 of 1 on page 30 of 168”,Name: “Table 1 of 1 on page 30 of 168”,Name: “Table 1 of 1 on page 30 of 168”,Name: “Table 1 of 1 on page 30 of 168”,Name: “Table 1 of 1 on page 30 of 168”,Name: “Table 1 of 1 on page 30 of 168”
Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30
,,,,,,,,,,,,
,,,,,,,,,,,,P a g e | 28
County/City of,Accident,Accident,Homicide,Homicide,Natural,Natural,Suicide,Suicide,Undetermined,Undetermined,,Total
Residence,Total,Rate,Total,Rate,Total,Rate,Total,Rate,Total,Rate,Total,Rate
Clarke,7,48.0,1,6.9,7,48.0,2,13.7,0,0.0,17,116.5
Colonial Heights,4,22.4,0,0.0,4,22.4,1,5.6,0,0.0,9,50.5
Covington,2,32.5,0,0.0,1,16.3,1,16.3,0,0.0,4,65.1
Craig,3,60.4,0,0.0,2,40.2,1,20.1,0,0.0,6,120.7
Culpeper,15,32.3,0,0.0,13,28.0,10,21.5,0,0.0,38,81.7
Cumberland,6,61.5,2,20.5,1,10.2,3,30.7,0,0.0,12,123.0
Danville,22,49.5,8,18.0,19,42.8,7,15.8,1,2.3,57,128.4
Dickenson,5,31.1,1,6.2,4,24.9,7,43.5,0,0.0,17,105.7
Dinwiddie,9,34.2,1,3.8,8,30.4,1,3.8,0,0.0,19,72.1
Emporia,2,35.5,0,0.0,2,35.5,0,0.0,0,0.0,4,71.0
Essex,9,80.4,0,0.0,3,26.8,2,17.9,0,0.0,14,125.1
Fairfax City,10,40.5,0,0.0,11,44.6,6,24.3,1,4.1,28,113.5
Fairfax,144,13.9,19,1.8,149,14.4,105,10.1,8,0.8,425,41.0
Falls Church,0,0.0,0,0.0,2,16.7,0,0.0,0,0.0,2,16.7
Fauquier,27,39.7,4,5.9,17,25.0,9,13.2,2,2.9,59,86.8
Floyd,7,46.6,2,13.3,6,40.0,3,20.0,1,6.7,19,126.6
Fluvanna,7,27.2,0,0.0,4,15.5,1,3.9,0,0.0,12,46.6
Franklin City,1,11.3,1,11.3,1,11.3,0,0.0,0,0.0,3,34.0
Franklin,25,48.1,3,5.8,8,15.4,7,13.5,3,5.8,46,88.6
Frederick,26,34.7,3,4.0,13,17.3,5,6.7,2,2.7,49,65.4
Fredericksburg,3,12.9,0,0.0,6,25.9,2,8.6,1,4.3,12,51.7
Galax,1,14.5,1,14.5,2,29.1,1,14.5,1,14.5,6,87.2
Giles,7,40.3,0,0.0,6,34.6,4,23.0,0,0.0,17,97.9
Gloucester,6,15.3,0,0.0,8,20.4,5,12.8,0,0.0,19,48.5
Goochland,11,51.6,1,4.7,4,18.8,3,14.1,0,0.0,19,89.2
Grayson,5,31.7,0,0.0,1,6.3,2,12.7,0,0.0,8,50.7
Greene,5,27.1,0,0.0,2,10.9,4,21.7,0,0.0,11,59.7
Greensville,6,49.8,3,24.9,8,66.4,1,8.3,0,0.0,18,149.4
Halifax,12,34.0,0,0.0,17,48.2,5,14.2,1,2.8,35,99.3
Hampton,25,17.3,14,9.7,51,35.4,14,9.7,4,2.8,108,74.9
Hanover,12,12.0,1,1.0,16,16.0,16,16.0,0,0.0,45,45.0
Virginia Department of Health,,,,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,,,February 2011
