Name: “Table 1 of 1 on page 56 of 168”,Name: “Table 1 of 1 on page 56 of 168”,Name: “Table 1 of 1 on page 56 of 168”,Name: “Table 1 of 1 on page 56 of 168”,Name: “Table 1 of 1 on page 56 of 168”,Name: “Table 1 of 1 on page 56 of 168”
Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56
,,,,,
,,,,,P a g e | 54
"Table 14. Accidental Deaths by City/County of Injury by Year of Death, 2006-2009","Table 14. Accidental Deaths by City/County of Injury by Year of Death, 2006-2009","Table 14. Accidental Deaths by City/County of Injury by Year of Death, 2006-2009","Table 14. Accidental Deaths by City/County of Injury by Year of Death, 2006-2009","Table 14. Accidental Deaths by City/County of Injury by Year of Death, 2006-2009",
,,Year of Death,Year of Death,,
County/City of Injury,2006,2007,2008,2009,Total
Accomack,22,20,11,19,53
Albemarle,17,20,33,25,70
Alexandria,21,21,21,22,63
Alleghany,10,14,8,5,32
Amelia,4,7,11,9,22
Amherst,11,8,16,9,35
Appomattox,2,6,7,4,15
Arlington,18,20,30,34,68
Augusta,26,35,38,33,99
Bath,2,3,1,4,6
Bedford City,3,5,5,4,13
Bedford,22,27,16,30,65
Bland,0,6,2,7,8
Botetourt,12,12,13,11,37
Bristol,6,10,3,3,19
Brunswick,16,7,6,8,29
Buchanan,21,18,19,11,58
Buckingham,3,9,6,3,18
Buena Vista,0,0,1,2,1
Campbell,32,16,31,12,79
Caroline,9,14,8,9,31
Carroll,17,15,19,11,51
Charles City,4,8,7,7,19
Charlotte,4,6,6,5,16
Charlottesville,21,28,11,16,60
Chesapeake,55,60,47,53,162
Chesterfield,56,71,92,68,219
Clarke,5,6,5,8,16
Colonial Heights,6,3,4,2,13
Covington,4,0,2,2,6
Craig,7,2,2,4,11
Culpeper,16,24,12,12,52
Cumberland,1,2,4,3,7
Danville,16,13,22,20,51
Dickenson,11,16,13,5,40
Dinwiddie,12,14,20,12,46
Emporia,2,8,2,1,12
Essex,4,7,4,7,15
Fairfax City,3,4,5,11,12
Virginia Department of Health,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,February 2011
