Name: “Table 1 of 1 on page 155 of 168”,Name: “Table 1 of 1 on page 155 of 168”,Name: “Table 1 of 1 on page 155 of 168”,Name: “Table 1 of 1 on page 155 of 168”,Name: “Table 1 of 1 on page 155 of 168”
Table: 155,Table: 155,Table: 155,Table: 155,Table: 155
,,,,
,,,,P a g e | 153
SECTION 8: IN CUSTODY (PRISONER) POPULATION (N=137),SECTION 8: IN CUSTODY (PRISONER) POPULATION (N=137),SECTION 8: IN CUSTODY (PRISONER) POPULATION (N=137),SECTION 8: IN CUSTODY (PRISONER) POPULATION (N=137),
"Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other"
"correctional institution, or in police custody. The OCME took jurisdiction of 137 prisoners in 2009.","correctional institution, or in police custody. The OCME took jurisdiction of 137 prisoners in 2009.","correctional institution, or in police custody. The OCME took jurisdiction of 137 prisoners in 2009.","correctional institution, or in police custody. The OCME took jurisdiction of 137 prisoners in 2009.","correctional institution, or in police custody. The OCME took jurisdiction of 137 prisoners in 2009."
•,The majority (81.8%) of prisoner cases were natural,The majority (81.8%) of prisoner cases were natural,The majority (81.8%) of prisoner cases were natural,
•,The vast majority of cases were males (95.6%) and blacks had a slight majority of cases over whites,The vast majority of cases were males (95.6%) and blacks had a slight majority of cases over whites,The vast majority of cases were males (95.6%) and blacks had a slight majority of cases over whites,The vast majority of cases were males (95.6%) and blacks had a slight majority of cases over whites
,"(48.9% versus 47.4%, respectively)",,,
,"Figure 91. Prisoner Deaths by Manner of Death, 2009","Figure 91. Prisoner Deaths by Manner of Death, 2009","Figure 91. Prisoner Deaths by Manner of Death, 2009",
,,Undetermined,Undetermined,
,Suicide,1%,Accident,
,,,4%,Homicide
,10%,,,
,,,,3%
,,,,Natural
,,,,82%
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,February 2011
