Name: “Table 1 of 1 on page 69 of 168”,Name: “Table 1 of 1 on page 69 of 168”,Name: “Table 1 of 1 on page 69 of 168”,Name: “Table 1 of 1 on page 69 of 168”,Name: “Table 1 of 1 on page 69 of 168”,Name: “Table 1 of 1 on page 69 of 168”
Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69
,,,,,
,,,,,P a g e | 67
,,Year of Death,Year of Death,,
County/City of Injury,2006,2007,2008,2009,Total
Falls Church,0,1,3,0,4
Fauquier,7,4,8,9,28
Floyd,2,2,1,3,8
Fluvanna,2,3,4,2,11
Franklin City,0,0,0,0,0
Franklin,5,8,6,7,26
Frederick,9,7,7,8,31
Fredericksburg,6,4,5,2,17
Galax,1,1,2,1,5
Giles,2,3,3,5,13
Gloucester,7,6,9,4,26
Goochland,2,5,2,4,13
Grayson,3,2,5,2,12
Greene,4,2,2,3,11
Greensville,2,0,0,2,4
Halifax,8,4,4,5,21
Hampton,13,16,18,16,63
Hanover,12,15,17,11,55
Harrisonburg,2,4,4,6,16
Henrico,37,26,25,39,127
Henry,11,12,19,13,55
Highland,0,0,0,0,0
Hopewell,1,1,2,3,7
Isle of Wight,5,1,0,3,9
James City,5,4,9,7,25
King and Queen,2,4,2,1,9
King George,3,2,2,3,10
King William,1,1,1,4,7
Lancaster,0,3,4,1,8
Lee,5,4,7,5,21
Lexington,0,1,0,0,1
Loudoun,20,23,13,24,80
Louisa,5,8,2,5,20
Lunenburg,6,1,1,3,11
Lynchburg,8,6,13,5,32
Madison,2,4,3,1,10
Manassas,2,3,9,3,17
Martinsville,0,4,0,1,5
Mathews,1,0,2,0,3
Mecklenburg,4,6,7,5,22
Middlesex,0,1,1,5,7
Montgomery,11,22,8,5,46
Virginia Department of Health,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,February 2011
