Name: “Table 1 of 1 on page 37 of 168”,Name: “Table 1 of 1 on page 37 of 168”,Name: “Table 1 of 1 on page 37 of 168”,Name: “Table 1 of 1 on page 37 of 168”,Name: “Table 1 of 1 on page 37 of 168”,Name: “Table 1 of 1 on page 37 of 168”,Name: “Table 1 of 1 on page 37 of 168”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,,,
,,,,,,P a g e | 35
County/City of,Accident,Homicide,Natural,Suicide,Undetermined,
Injury/Acute Illness,Total,Total,Total,Total,Total,Total
Emporia,1,0,4,1,0,6
Essex,7,0,3,2,0,12
Fairfax City,11,0,4,6,1,22
Fairfax,149,19,163,104,8,443
Falls Church,1,0,3,0,0,4
Fauquier,33,3,19,9,2,66
Floyd,8,2,7,3,1,21
Fluvanna,7,0,6,2,0,15
Franklin City,1,2,2,0,0,5
Franklin,26,4,8,7,3,48
Frederick,31,2,15,8,2,58
Fredericksburg,6,1,11,2,2,22
Galax,0,1,3,1,1,6
Giles,9,0,6,5,0,20
Gloucester,10,0,7,4,0,21
Goochland,14,0,4,4,0,22
Grayson,6,0,1,2,0,9
Greene,4,0,1,3,0,8
Greensville,5,4,12,2,0,23
Halifax,14,0,17,5,1,37
Hampton,25,11,49,16,5,106
Hanover,13,0,14,11,0,38
Harrisonburg,5,0,4,6,0,15
Henrico,73,12,49,39,7,180
Henry,22,5,21,13,5,66
Highland,2,0,0,0,0,2
Hopewell,7,4,7,3,0,21
Isle of Wight,12,1,10,3,0,26
James City,16,1,23,7,0,47
King and Queen,8,0,1,1,0,10
King George,10,2,7,3,0,22
King William,9,0,3,4,0,16
Lancaster,2,0,3,1,0,6
Lee,13,1,7,5,2,28
Lexington,2,0,0,0,0,2
Loudoun,29,4,30,24,3,90
Louisa,21,1,5,5,1,33
Lunenburg,5,1,1,3,2,12
Lynchburg,16,0,15,5,1,37
Madison,3,0,4,1,1,9
Manassas,12,1,7,3,3,26
Martinsville,6,0,2,1,1,10
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,February 2011
