Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”,Name: “Table 1 of 1 on page 130 of 168”
Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,P a g e | 128
,,"Figure ϳε. Drug/Poison Deaths by Age Group by Gender, 2009","Figure ϳε. Drug/Poison Deaths by Age Group by Gender, 2009","Figure ϳε. Drug/Poison Deaths by Age Group by Gender, 2009","Figure ϳε. Drug/Poison Deaths by Age Group by Gender, 2009","Figure ϳε. Drug/Poison Deaths by Age Group by Gender, 2009","Figure ϳε. Drug/Poison Deaths by Age Group by Gender, 2009","Figure ϳε. Drug/Poison Deaths by Age Group by Gender, 2009","Figure ϳε. Drug/Poison Deaths by Age Group by Gender, 2009","Figure ϳε. Drug/Poison Deaths by Age Group by Gender, 2009","Figure ϳε. Drug/Poison Deaths by Age Group by Gender, 2009","Figure ϳε. Drug/Poison Deaths by Age Group by Gender, 2009","Figure ϳε. Drug/Poison Deaths by Age Group by Gender, 2009","Figure ϳε. Drug/Poison Deaths by Age Group by Gender, 2009","Figure ϳε. Drug/Poison Deaths by Age Group by Gender, 2009",,,
120,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,114,,,,,,,
,,,,,,,,,,,,,111,,Male,,,
,,,,,,,,,,,,106,,,,,,
,,,,,,,,,,,,,,,Female,,,
100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,91,,,,,,
,,,,,,,,,,,,,83,,,,,
80,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,41,,,,,,,,
,,,,,,,,,,,39,,,,,,,
40,,,,,,,,,,,,,,36 36,,,,
,,,,,,,,,,19,,,,,,,,
20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,11,,,
,,,,,,,,6,6,,,,,,7,,,
,,,,,,,,,,,,,,,,3,,
0,0,1,0,0,0,0,0,,,,,,,,,1,1,1
0,,,,,,,,,,,,,,,,,,
"
    ",,1-4,,5-9,,10-14,10-14,15-19,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,
,,,,,,,,,,Age Group (yrs),Age Group (yrs),,,,,,,
,"Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009","Table ϯε. Drug/Poison Deaths by Age Group by Manner of Death, 2009",,
,,,,,,,,,,Manner of Death,Manner of Death,Manner of Death,,,,,,
Age Group,Age Group,Age Group,Accident,Accident,Accident,Accident,,Homicide,Homicide,Homicide,Suicide,Suicide,,Undetermined,Undetermined,,Total,
"
    ",,,,0,0,,,,,0,,0,,,0,,0,
1-4,,,,0,0,,,,,0,,0,,,1,,1,
5-9,,,,0,0,,,,,0,,0,,,0,,0,
10-14,,,,0,0,,,,,0,,0,,,0,,0,
15-19,,,,8,8,,,,,1,,3,,,0,,12,
20-24,,,,56,56,,,,,0,,4,,,0,,60,
25-34,,,,133,133,,,,,0,,20,,,0,,153,
35-44,,,,153,153,,,,,0,,37,,,7,,197,
45-54,,,,152,152,,,,,0,,37,,,5,,194,
55-64,,,,43,43,,,,,0,,28,,,1,,72,
65-74,,,,6,6,,,,,0,,11,,,1,,18,
75-84,,,,1,1,,,,,0,,3,,,0,,4,
85+,,,,2,2,,,,,0,,0,,,0,,2,
Total,,,,554,554,,,,,1,,143,,,15,,713,
Virginia Department of Health,Virginia Department of Health,,,,,,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,,,,February 2011
