Name: “Table 1 of 1 on page 76 of 168”,Name: “Table 1 of 1 on page 76 of 168”,Name: “Table 1 of 1 on page 76 of 168”,Name: “Table 1 of 1 on page 76 of 168”,Name: “Table 1 of 1 on page 76 of 168”,Name: “Table 1 of 1 on page 76 of 168”,Name: “Table 1 of 1 on page 76 of 168”,Name: “Table 1 of 1 on page 76 of 168”
Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76
,,,,,,,
,,,,,,,P a g e | 74
"Figure ϯρ. Homicide Deaths by Leading Methods of Death, 2009","Figure ϯρ. Homicide Deaths by Leading Methods of Death, 2009","Figure ϯρ. Homicide Deaths by Leading Methods of Death, 2009","Figure ϯρ. Homicide Deaths by Leading Methods of Death, 2009","Figure ϯρ. Homicide Deaths by Leading Methods of Death, 2009","Figure ϯρ. Homicide Deaths by Leading Methods of Death, 2009",,
,20,,,,,,
Rifle,,,,,,,
,,36,,,,,
Unspecified Gun,,,,,,,
Sharp Force,,46,,,,,
Instrument,,,,,,,
,,46,,,,,
Beatings/Blows,,,,,,,
,,,,,,214,
Handgun,,,,,,,
0,,50,100,150,200,250,
"Table 1ε. Homicide Deaths by City/County of Residence, 2009","Table 1ε. Homicide Deaths by City/County of Residence, 2009","Table 1ε. Homicide Deaths by City/County of Residence, 2009","Table 1ε. Homicide Deaths by City/County of Residence, 2009","Table 1ε. Homicide Deaths by City/County of Residence, 2009","Table 1ε. Homicide Deaths by City/County of Residence, 2009",,
County/City of Residency,Total,Rate,County/City of Residency,County/City of Residency,County/City of Residency,Total,Rate
Accomack,2,5.2,Buckingham,Buckingham,,1,6.2
Albemarle,0,0.0,Buena Vista,Buena Vista,,0,0.0
Alexandria,4,2.7,Campbell,Campbell,,3,5.7
Alleghany,1,6.2,Caroline,Caroline,,0,0.0
Amelia,0,0.0,Carroll,Carroll,,1,3.4
Amherst,1,3.1,Charles City,Charles City,,0,0.0
Appomattox,2,13.7,Charlotte,Charlotte,,1,8.3
Arlington,1,0.5,Charlottesville,Charlottesville,,0,0.0
Augusta,2,2.8,Chesapeake,Chesapeake,,17,7.6
Bath,1,22.3,Chesterfield,Chesterfield,,9,2.9
Bedford City,0,0.0,Clarke,Clarke,,1,6.9
Bedford,1,1.5,Colonial Heights,Colonial Heights,Colonial Heights,0,0.0
Bland,1,14.7,Covington,Covington,,0,0.0
Botetourt,1,3.1,Craig,Craig,,0,0.0
Bristol,1,5.7,Culpeper,Culpeper,,0,0.0
Brunswick,0,0.0,Cumberland,Cumberland,,2,20.5
Buchanan,6,26.2,Danville,Danville,,8,18.0
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,February 2011
