Name: “Table 1 of 1 on page 26 of 168”,Name: “Table 1 of 1 on page 26 of 168”,Name: “Table 1 of 1 on page 26 of 168”,Name: “Table 1 of 1 on page 26 of 168”,Name: “Table 1 of 1 on page 26 of 168”,Name: “Table 1 of 1 on page 26 of 168”,Name: “Table 1 of 1 on page 26 of 168”,Name: “Table 1 of 1 on page 26 of 168”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,,,
,,,,,,,P a g e | 24
,"Table 7. Total Cases by Manner of Death by Gender by Age Group, 2009","Table 7. Total Cases by Manner of Death by Gender by Age Group, 2009","Table 7. Total Cases by Manner of Death by Gender by Age Group, 2009","Table 7. Total Cases by Manner of Death by Gender by Age Group, 2009","Table 7. Total Cases by Manner of Death by Gender by Age Group, 2009","Table 7. Total Cases by Manner of Death by Gender by Age Group, 2009",
,,,,Manner of Death,Manner of Death,,
Gender,Age Group,Accident,Homicide,Natural,Suicide,Undetermined,Total
,"
    ",15,5,31,0,50,101
,1-4,16,5,6,0,5,32
,5-9,5,1,2,0,0,8
,10-14,12,4,2,1,2,21
,15-19,52,29,12,34,1,128
,20-24,154,68,17,57,0,296
,25-34,219,78,52,105,1,455
Male,35-44,218,58,164,149,3,592
,45-54,255,32,342,169,11,809
,55-64,164,13,370,129,9,685
,65-74,116,10,196,63,1,386
,75-84,128,2,113,31,1,275
,85+,95,2,40,17,3,157
,Unknown,0,2,0,0,1,3
,Subtotal,726,309,1347,755,88,3948
,"
    ",13,9,20,0,27,69
,1-4,8,3,6,0,0,17
,5-9,4,1,1,0,1,7
,10-14,7,2,0,1,0,10
,15-19,28,5,3,7,0,43
,20-24,50,10,5,10,0,75
,25-34,64,16,32,25,0,137
Female,,,,,,,
,35-44,92,18,67,55,10,242
,45-54,99,18,121,59,8,305
,55-64,62,12,109,43,5,231
,65-74,76,5,74,13,2,170
,75-84,106,2,66,4,2,180
,85+,117,0,54,2,0,173
,Subtotal,726,101,558,219,55,1659
,"
    ",0,0,1,0,0,1
Unknown,,,,,,,
,Subtotal,0,0,1,0,0,1
TOTAL,TOTAL,1452,410,1906,974,143,5608
Virginia Department of Health,Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,February 2011
