Name: “Table 1 of 1 on page 39 of 168”,Name: “Table 1 of 1 on page 39 of 168”,Name: “Table 1 of 1 on page 39 of 168”,Name: “Table 1 of 1 on page 39 of 168”,Name: “Table 1 of 1 on page 39 of 168”,Name: “Table 1 of 1 on page 39 of 168”,Name: “Table 1 of 1 on page 39 of 168”
Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39
,,,,,,
,,,,,,P a g e | 37
County/City of,Accident,Homicide,Natural,Suicide,Undetermined,
Injury/Acute Illness,Total,Total,Total,Total,Total,Total
Surry,1,0,2,4,0,7
Sussex,11,0,5,4,0,20
Tazewell,19,6,20,12,0,57
Virginia Beach,110,17,83,60,6,276
Warren,9,1,10,6,1,27
Washington,14,1,19,13,0,47
Waynesboro,6,0,2,4,0,12
Westmoreland,6,0,7,2,0,15
Williamsburg,6,0,9,1,0,16
Winchester,10,0,12,2,0,24
Wise,22,1,15,4,1,43
Wythe,12,0,6,5,0,23
York,7,2,21,6,0,36
Total for In-State,2105,403,1881,969,138,5496
Out of Country,2,0,1,0,0,3
Out of State,50,1,17,4,2,74
Unknown,18,6,7,1,3,35
TOTAL,2175,410,1906,974,143,5608
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,February 2011
