Name: “Table 1 of 1 on page 109 of 168”,Name: “Table 1 of 1 on page 109 of 168”,Name: “Table 1 of 1 on page 109 of 168”,Name: “Table 1 of 1 on page 109 of 168”,Name: “Table 1 of 1 on page 109 of 168”
Table: 109,Table: 109,Table: 109,Table: 109,Table: 109
,,,,
,,,,P a g e | 107
"Table 30. Ethanol Presence in Natural and Unnatural Deaths by Cause of Death, 2009","Table 30. Ethanol Presence in Natural and Unnatural Deaths by Cause of Death, 2009","Table 30. Ethanol Presence in Natural and Unnatural Deaths by Cause of Death, 2009","Table 30. Ethanol Presence in Natural and Unnatural Deaths by Cause of Death, 2009",
,,,Ethanol,Ethanol
,Total,No,0.01-0.07%,≥0.08%
Natural Deaths,Cases,Ethanol,W/V,W/V
Pulmonary Diseases/Disorders,167,160,6,1
Asthma,8,8,0,0
COPD,34,33,1,0
Emboli,32,30,2,0
Pneumonia,60,58,2,0
Pulmonary Malignancy,26,25,0,1
Other Pulmonary Disease/Disorder,7,6,1,0
Central Nervous System Diseases/Disorders,86,78,6,2
Seizure Disorder,23,21,1,1
Vascular Disease,39,36,2,1
Degenerative Disease,8,8,0,0
Meningitis (Bacterial or Viral),2,1,1,0
CNS Malignancy,3,3,0,0
Other CNS Disease/Disorder,11,9,2,0
Cardiovascular Diseases/Disorders,1271,1109,105,57
Atherosclerosis,700,625,50,25
Hypertension,212,177,20,15
Atherosclerosis & Hypertension,157,138,12,7
Congenital Defect,14,12,2,0
Vascular Dissection/Ruptures,10,8,0,2
Valvular,5,4,1,0
Acute Coronary Insufficiency,118,101,12,5
Other Cardiac Disease/Disorder,55,44,8,3
Gastrointestinal Diseases/Disorders,59,58,1,0
GI Hemorrhage,10,10,0,0
Cirrhosis,8,8,0,0
Hepatitis,3,3,0,0
GI Malignancy,19,19,0,0
Other GI Disease/Disorder,19,18,1,0
Genitourinal Diseases/Disorders,14,13,1,0
Renal Disease,4,4,0,0
Genitourinal Malignancy,8,7,1,0
Other GU Disease/Disorder,2,2,0,0
Perinatal and Pediatric Diseases/Disorders,34,34,0,0
Maternal Complications,1,1,0,0
Fetal Complications,5,5,0,0
Sudden Infant Death Syndrome (SIDS),23,23,0,0
Other Perinatal or Pediatric Disorder,5,5,0,0
Systemic Diseases/Disorders,254,193,27,34
Blood Disorders,6,5,1,0
Diabetes,57,49,7,1
Virginia Department of Health,Office of the Chief Medical Examiner,,,February 2011
