Name: “Table 1 of 1 on page 87 of 92”,Name: “Table 1 of 1 on page 87 of 92”,Name: “Table 1 of 1 on page 87 of 92”,Name: “Table 1 of 1 on page 87 of 92”,Name: “Table 1 of 1 on page 87 of 92”,Name: “Table 1 of 1 on page 87 of 92”,Name: “Table 1 of 1 on page 87 of 92”,Name: “Table 1 of 1 on page 87 of 92”
Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84
,,,,,,,
,,,,,Appendices,,87
Appendix 2,,,,,,,
Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,,,,
Offenses Against the Person,,,,,,,
,Assault,Homicide,Kidnapping,Robbery,Rape,Sexual,Assault
Reasons for AAGGGGRRAAVVA TION,(N=172),(N=49),(N=25),(N=119),(N=21),(N=97),(N=97)
Aggravating circumstances/flagrancy of offense,27,11,9,19,4,19,
No reason given,32,10,8,20,3,15,
Plea agreement,33,8,4,8,0,20,
Jury sentence,19,10,5,21,4,8,
Offender has extensive prior record or same type of prior,15,4,5,25,1,4,
Offender has poor rehabilitation potential,14,5,1,17,4,8,
"Degree of victim injury (physical, emotional, etc.)",29,4,1,8,0,3,
Degree of violence toward victim,25,4,1,11,1,0,
"Type of victim (child, etc.)",5,1,5,6,9,14,
Number of violations/counts in the event,12,2,2,5,1,5,
Guidelines recommendation is too low,3,4,1,6,1,6,
Sentencing guidelines recommendation not appropriate,8,0,1,4,0,0,
Offense involved a high degree of planning/violation of trust,2,0,0,6,1,3,
Offender used a weapon in commission of the offense,3,3,0,4,0,0,
True offense behavior was more serious than offenses at conv.,6,0,1,0,0,1,
"Judicial discretion (time served, shock incarceration, etc.)",4,0,0,2,0,1,
Gang-related offense,1,1,0,4,0,0,
Mandatory minimum involved in event,2,0,1,1,0,2,
Facts of sex offense involved,0,0,1,0,0,5,
"Victim circumstances (facts of the case, etc.)",2,0,0,1,2,1,
Victim request,1,0,1,1,0,2,
Aggravating court circumstances/proceedings,2,0,0,1,0,1,
Current offense involves drugs/alcohol (large amount of drugs),0,3,0,1,0,0,
Offender was the leader,1,0,0,1,0,2,
Seriousness of offense,0,0,0,4,0,0,
Current offense involves accident/reckless driving,0,2,1,0,0,0,
"Offender issues (age of offender, lacks family support, etc.)",2,0,0,0,0,1,
Offender needs rehabilitation offered by jail/prison,0,0,0,2,0,1,
Offender failed to cooperate with authorities,0,1,0,0,0,1,
Prior record not adequately weighed by guidelines,0,0,0,2,0,0,
Offender violated protective order or was stalking,1,0,1,0,0,0,
Illegible written reason,0,0,0,0,0,1,
Offender is sentenced to an alt. punishment to incarceration,1,0,0,0,0,0,
Absconded from probation supervision,0,0,0,0,0,1,
Extreme property or monetary loss,0,0,0,1,0,0,
Offender's substance abuse issues,0,0,1,0,0,0,
Sentencing guidelines incorrect/missing,0,0,0,0,0,1,
Judge had an issue scoring one of the risk assessment factors,0,0,0,0,0,1,
Judge rounded guidelines minimum to nearest whole year,0,0,0,0,0,1,
Sentencing guidelines recommendation issue,0,0,0,1,0,0,
Note: Figures indicate the number of times a departure reason was cited.,Note: Figures indicate the number of times a departure reason was cited.,,,,,,
"Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.",,,
