Name: “Table 1 of 1 on page 86 of 92”,Name: “Table 1 of 1 on page 86 of 92”,Name: “Table 1 of 1 on page 86 of 92”,Name: “Table 1 of 1 on page 86 of 92”,Name: “Table 1 of 1 on page 86 of 92”,Name: “Table 1 of 1 on page 86 of 92”,Name: “Table 1 of 1 on page 86 of 92”,Name: “Table 1 of 1 on page 86 of 92”,Name: “Table 1 of 1 on page 86 of 92”,Name: “Table 1 of 1 on page 86 of 92”,Name: “Table 1 of 1 on page 86 of 92”
Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83
,,,,,,,,,,
86,,2010 Annual Report,2010 Annual Report,,,,,,,
Appendix 2,Appendix 2,Appendix 2,Appendix 2,,,,,,,
Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,,,,
Offenses Against the Person,Offenses Against the Person,Offenses Against the Person,Offenses Against the Person,,,,,,,
,,,,Assault,Homicide,Kidnapping,Robbery,Rape,Sexual,Assault
Reasons,Reasons,for,MITIGATION,(N=252),(N=41),(N=25),(N=225),(N=50),(N=68),(N=68)
Plea agreement,Plea agreement,Plea agreement,Plea agreement,86,7,12,45,17,31,
No reason given,No reason given,No reason given,No reason given,54,6,3,38,4,5,
"Judicial discretion (time served, other sentence to serve,etc.)","Judicial discretion (time served, other sentence to serve,etc.)","Judicial discretion (time served, other sentence to serve,etc.)","Judicial discretion (time served, other sentence to serve,etc.)",16,3,2,32,3,6,
Mitigating court circumstances/proceedings,Mitigating court circumstances/proceedings,Mitigating court circumstances/proceedings,Mitigating court circumstances/proceedings,24,9,1,11,5,10,
Minimal circumstances/facts of the case,Minimal circumstances/facts of the case,Minimal circumstances/facts of the case,Minimal circumstances/facts of the case,20,4,2,9,10,9,
Offender cooperated with authorities,Offender cooperated with authorities,Offender cooperated with authorities,Offender cooperated with authorities,2,1,2,40,0,5,
Offender has minimal/no prior record,Offender has minimal/no prior record,Offender has minimal/no prior record,Offender has minimal/no prior record,15,0,0,18,4,5,
Sentenced to Department of Juvenile Justice,Sentenced to Department of Juvenile Justice,Sentenced to Department of Juvenile Justice,Sentenced to Department of Juvenile Justice,11,0,0,26,2,2,
Victim request,Victim request,Victim request,Victim request,18,0,8,2,2,10,
Sentence recommended by Commonwealth Attorney,Sentence recommended by Commonwealth Attorney,Sentence recommended by Commonwealth Attorney,Sentence recommended by Commonwealth Attorney,10,2,0,21,0,4,
"Offender health (mental, physical, emotional, etc.)","Offender health (mental, physical, emotional, etc.)","Offender health (mental, physical, emotional, etc.)","Offender health (mental, physical, emotional, etc.)",13,2,0,8,4,3,
Offender has good potential for rehabilitation,Offender has good potential for rehabilitation,Offender has good potential for rehabilitation,Offender has good potential for rehabilitation,10,0,1,14,3,2,
"Offender issues (age of offender, homeless, family issues, etc.)","Offender issues (age of offender, homeless, family issues, etc.)","Offender issues (age of offender, homeless, family issues, etc.)","Offender issues (age of offender, homeless, family issues, etc.)",9,2,0,11,3,4,
Offender not the leader,Offender not the leader,Offender not the leader,Offender not the leader,5,1,0,21,0,0,
Jury sentence,Jury sentence,Jury sentence,,3,11,1,2,5,1,
Victim cannot/will not testify,Victim cannot/will not testify,Victim cannot/will not testify,Victim cannot/will not testify,6,0,2,4,2,2,
Victim's role in the offense,Victim's role in the offense,Victim's role in the offense,Victim's role in the offense,9,2,1,1,0,1,
Little or no injury/offender did not intend to harm,Little or no injury/offender did not intend to harm,Little or no injury/offender did not intend to harm,Little or no injury/offender did not intend to harm,9,0,1,1,2,0,
"Type of victim (drug dealer, relative, friend, etc.)","Type of victim (drug dealer, relative, friend, etc.)","Type of victim (drug dealer, relative, friend, etc.)","Type of victim (drug dealer, relative, friend, etc.)",5,0,1,2,3,2,
Offender is sentenced to an alt. punishment to incarceration,Offender is sentenced to an alt. punishment to incarceration,Offender is sentenced to an alt. punishment to incarceration,Offender is sentenced to an alt. punishment to incarceration,4,0,0,6,0,0,
Offender's progress in rehabilitation,Offender's progress in rehabilitation,Offender's progress in rehabilitation,Offender's progress in rehabilitation,3,0,0,5,0,1,
Multiple charges/sequence of events are being treated as one,Multiple charges/sequence of events are being treated as one,Multiple charges/sequence of events are being treated as one,Multiple charges/sequence of events are being treated as one,0,0,0,6,0,1,
Current offense involves drugs/alcohol (small amount of drugs),Current offense involves drugs/alcohol (small amount of drugs),Current offense involves drugs/alcohol (small amount of drugs),Current offense involves drugs/alcohol (small amount of drugs),5,0,0,2,0,0,
Judge had an issue scoring one of the risk assessment factors,Judge had an issue scoring one of the risk assessment factors,Judge had an issue scoring one of the risk assessment factors,Judge had an issue scoring one of the risk assessment factors,0,0,0,0,2,4,
