Primary Offense,Juvenile Arrests,Adult Arrests,Total Arrests
Robbery,0,1,1
Aggravated Assault,1,4,5
Intimidation,0,2,2
Simple Assault,9,19,28
Burglary/Breaking and Entering,0,5,5
Theft From a Building,0,1,1
All Other Larceny,0,6,6
Credit Card/ATM Fraud,0,2,2
Embezzlement,0,1,1
Stolen Property Offenses,0,1,1
Destruction/Damage/Vandalism of Property,1,0,1
Drug/Narcotic Violations,2,12,14
Weapon Law Violations,1,5,6
Driving Under the Influence,0,37,37
Drunkenness,0,42,42
Trespass of Real Property,0,5,5
All other Offenses,1,13,14
Transport,1,2,3
Possession of Alcohol,10,12,22
Possession of Tobacco,1,0,1
Illegal Dumping,0,1,1
No Operator License,0,7,7
Extradition,0,2,2
EPO/PPO Service,0,3,3
Traffic Law Violations,1,4,5
Eluding,0,1,1
ECO,6,18,24
TDO,3,6,9
Animal Control,0,10,10
False Information to an Officer,0,1,1
Drive Suspended,0,16,16
Warrant Service,18,96,115
Total,55,335,390
