Name: “Table 1 of 1 on page 48 of 178”,Name: “Table 1 of 1 on page 48 of 178”,Name: “Table 1 of 1 on page 48 of 178”,Name: “Table 1 of 1 on page 48 of 178”,Name: “Table 1 of 1 on page 48 of 178”,Name: “Table 1 of 1 on page 48 of 178”,Name: “Table 1 of 1 on page 48 of 178”,Name: “Table 1 of 1 on page 48 of 178”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,,,
,,,,,,P a g e,| 46
,Accident,Homicide,Natural,Suicide,Undetermined,,
County/City of Death,Total,Total,Total,Total,Total,Total,
Staunton,6,0,7,3,0,16,
Suffolk,21,3,28,12,4,68,
Surry,0,0,1,0,0,1,
Sussex,3,0,1,1,0,5,
Tazewell,26,0,19,6,4,55,
Virginia Beach,96,14,58,62,13,243,
Warren,18,0,6,6,0,30,
Washington,28,2,16,10,1,57,
Waynesboro,2,0,5,2,0,9,
Westmoreland,7,0,6,3,0,16,
Williamsburg,0,0,5,6,0,11,
Winchester,39,2,23,11,4,79,
Wise,19,0,9,10,2,40,
Wythe,8,1,5,6,1,21,
York,23,3,28,13,1,68,
Total for In-State,2335,341,1754,1066,158,5654,
Out of State,6,4,2,1,1,14,
Unknown,0,0,0,0,2,2,
Total for Non-Residents,6,4,2,1,3,16,
TOTAL,2341,345,1756,1067,161,5670,
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,December 2012,December 2012
