Name: “Table 1 of 1 on page 96 of 178”,Name: “Table 1 of 1 on page 96 of 178”,Name: “Table 1 of 1 on page 96 of 178”,Name: “Table 1 of 1 on page 96 of 178”,Name: “Table 1 of 1 on page 96 of 178”,Name: “Table 1 of 1 on page 96 of 178”,Name: “Table 1 of 1 on page 96 of 178”,Name: “Table 1 of 1 on page 96 of 178”,Name: “Table 1 of 1 on page 96 of 178”
Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96
,,,,,,,,
,,,,,,,P a g e,| 94
,,,Year of Death,Year of Death,,,,
County/City of Injury,2006,2007,2008,2009,2010,2011,Total,
Shenandoah,0,0,0,1,0,0,1,
Smyth,0,0,3,1,0,3,7,
Southampton,1,3,0,2,1,0,7,
Spotsylvania,4,4,0,4,6,3,21,
Stafford,1,3,6,6,2,2,20,
Staunton,0,0,2,3,2,1,8,
Suffolk,8,3,5,8,4,3,31,
Surry,0,0,1,0,2,0,3,
Sussex,1,0,0,0,0,0,1,
Tazewell,0,3,2,6,4,0,15,
Virginia Beach,20,18,18,17,15,17,105,
Warren,2,0,0,1,0,0,3,
Washington,0,1,2,1,2,3,9,
Waynesboro,0,1,1,0,2,0,4,
Westmoreland,2,1,1,0,0,0,4,
Williamsburg,1,0,0,0,0,1,2,
Winchester,2,2,0,0,0,0,4,
Wise,0,2,0,1,1,1,5,
Wythe,1,0,2,0,0,1,4,
York,3,1,1,2,0,2,9,
Total in State,422,435,387,403,376,334,2357,
Out of State,1,6,4,1,6,5,23,
Unknown,4,2,8,6,9,6,35,
TOTAL,427,443,399,410,391,345,2415,
,"Table 24. Top 10 Homicide Deaths by City/County of Injury, 2011","Table 24. Top 10 Homicide Deaths by City/County of Injury, 2011","Table 24. Top 10 Homicide Deaths by City/County of Injury, 2011","Table 24. Top 10 Homicide Deaths by City/County of Injury, 2011","Table 24. Top 10 Homicide Deaths by City/County of Injury, 2011","Table 24. Top 10 Homicide Deaths by City/County of Injury, 2011",,
,County/City of Injury,County/City of Injury,County/City of Injury,Total Cases,Total Cases,,,
,Richmond City,Richmond City,,42,,,,
,Norfolk,,,29,,,,
,Newport News,Newport News,,18,,,,
,Virginia Beach,Virginia Beach,,17,,,,
,Henrico,,,13,,,,
,Chesapeake,Chesapeake,,12,,,,
,Fairfax County,Fairfax County,,12,,,,
,Portsmouth,Portsmouth,,12,,,,
,Chesterfield,Chesterfield,,10,,,,
,Roanoke City,Roanoke City,,9,,,,
Virginia Department of Health,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,December 2012,December 2012
