Name: “Table 1 of 1 on page 100 of 178”,Name: “Table 1 of 1 on page 100 of 178”,Name: “Table 1 of 1 on page 100 of 178”,Name: “Table 1 of 1 on page 100 of 178”,Name: “Table 1 of 1 on page 100 of 178”
Table: 100,Table: 100,Table: 100,Table: 100,Table: 100
,,,,
,,,P a g e,| 98
"Table 25. Undetermined Deaths by Cause of Death, 2011","Table 25. Undetermined Deaths by Cause of Death, 2011",,,
,,Total Cases,Autopsied,Autopsied
Undetermined Manner & Cause of Death,Undetermined Manner & Cause of Death,,,
Undetermined after autopsy and/or toxicology,Undetermined after autopsy and/or toxicology,109,107,107
Subtotal for Undetermined Manner & Cause of Death,Subtotal for Undetermined Manner & Cause of Death,109,107,107
Undetermined Manner but Cause of Death Determined,Undetermined Manner but Cause of Death Determined,,,
Asphyxia,,,,
Drowning,,4,,3
Hanging,,1,,1
Other asphyxia,Other asphyxia,3,,3
Drug Use,,,,
"Ingested and/or injected illicit, prescription, and/or OTC medication","Ingested and/or injected illicit, prescription, and/or OTC medication",25,,19
Fire,,,,
Thermal burns and/or inhalation of combustions products,Thermal burns and/or inhalation of combustions products,2,,2
Motor Vehicle,,,,
Car,,2,,1
Pickup Truck,,1,,1
Poisoning,,,,
Carbon monoxide poisoning,Carbon monoxide poisoning,2,,1
Traumatic Injury,,,,
Beatings/Blows,Beatings/Blows,1,,1
Fall,,3,,3
Gunshot Wound,Gunshot Wound,5,,5
Handgun,,(5),,(5)
Steam/Scald,,1,,1
Other Traumatic Causes,Other Traumatic Causes,2,,1
Subtotal for Undetermined Manner but Cause of Death Determined,Subtotal for Undetermined Manner but Cause of Death Determined,52,,42
Total,,161,149,149
Virginia Department of Health,Office of the Chief Medical Examiner,,December 2012,December 2012
