Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”,Name: “Table 1 of 1 on page 154 of 178”
Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154,Table: 154
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,P a g e,P a g e,| 152
,,,,,"Figure 96. FHMO Deaths by Age Group, 2011","Figure 96. FHMO Deaths by Age Group, 2011","Figure 96. FHMO Deaths by Age Group, 2011","Figure 96. FHMO Deaths by Age Group, 2011","Figure 96. FHMO Deaths by Age Group, 2011","Figure 96. FHMO Deaths by Age Group, 2011","Figure 96. FHMO Deaths by Age Group, 2011","Figure 96. FHMO Deaths by Age Group, 2011",,,,,
70,,,,,,,,,,,,,,,,12,12
60,,,,,,,,,,59,,,,,,,
,,,,,,,,,,,58,,,,,,
,,,,,,,,,,,,,,,,10,10
,,Male,,,,Female,,,,,55,,,,,,
,,Male Rate,,,,Female Rate,,,53,,,,,,,,
50,,,,,,,,,,49,,,,,,,
,,,,,,,,,,,,,,,,8,
40,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6,
30,,,,,,,,29,,,,,,,,,
,,,,,,,,,,,,24,,,,,
,,,,,,,,,23,,,,,,,,
,,,,,,,,,,,,,,,,4,
20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,,,,,
,,,,,,,,11,,,,,,,,,
,,,,,,,,,,,,,,,,2,
10,,,,,,,,,,,,,,,,,
,,,,,,,5,,,,,,,,,,
,,,,,,,,,,,,,4,,,,
,,3,,,,,,,,,,,,,,,
,,,,,1,1,1,,,,,,1,1,,,
0,0,0,0,0,,,,,,,,,,0,0,0,
0,,,,,,,,,,,,,,,,0,
"
    ","
    ",1-4,5-9,5-9,10-14,10-14,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,,
,,,,,,,,,Age Group (yrs),,,,,,,,
,,"Table 46. FHMO Combination Deaths by Alcohol Also Caused Death, 2011","Table 46. FHMO Combination Deaths by Alcohol Also Caused Death, 2011","Table 46. FHMO Combination Deaths by Alcohol Also Caused Death, 2011","Table 46. FHMO Combination Deaths by Alcohol Also Caused Death, 2011","Table 46. FHMO Combination Deaths by Alcohol Also Caused Death, 2011","Table 46. FHMO Combination Deaths by Alcohol Also Caused Death, 2011","Table 46. FHMO Combination Deaths by Alcohol Also Caused Death, 2011","Table 46. FHMO Combination Deaths by Alcohol Also Caused Death, 2011","Table 46. FHMO Combination Deaths by Alcohol Also Caused Death, 2011","Table 46. FHMO Combination Deaths by Alcohol Also Caused Death, 2011","Table 46. FHMO Combination Deaths by Alcohol Also Caused Death, 2011","Table 46. FHMO Combination Deaths by Alcohol Also Caused Death, 2011","Table 46. FHMO Combination Deaths by Alcohol Also Caused Death, 2011",,,
,,,,,,,,,,Alcohol Caused Death,Alcohol Caused Death,Alcohol Caused Death,,,,,
FHMO Combination,FHMO Combination,FHMO Combination,FHMO Combination,FHMO Combination,,,,,Yes,,No,Contributed,Contributed,Contributed,Total,,
Oxycodone,Oxycodone,Oxycodone,,,,,,,25,,6,,0,,31,,
Methadone,Methadone,Methadone,,,,,,,15,,6,,2,,23,,
Fentanyl,Fentanyl,,,,,,,,4,,3,,1,,8,,
Hydrocodone,Hydrocodone,Hydrocodone,,,,,,,12,,2,,1,,15,,
Oxycodone & Methadone,Oxycodone & Methadone,Oxycodone & Methadone,Oxycodone & Methadone,Oxycodone & Methadone,Oxycodone & Methadone,Oxycodone & Methadone,,,4,,0,,0,,4,,
Oxycodone & Fentanyl,Oxycodone & Fentanyl,Oxycodone & Fentanyl,Oxycodone & Fentanyl,Oxycodone & Fentanyl,,,,,1,,0,,0,,1,,
