Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”,Name: “Table 1 of 1 on page 133 of 178”
Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133,Table: 133
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,P a g e,| 131
,,"Figure 85. Drug/Poison Deaths by Age Group by Gender, 2011","Figure 85. Drug/Poison Deaths by Age Group by Gender, 2011","Figure 85. Drug/Poison Deaths by Age Group by Gender, 2011","Figure 85. Drug/Poison Deaths by Age Group by Gender, 2011","Figure 85. Drug/Poison Deaths by Age Group by Gender, 2011","Figure 85. Drug/Poison Deaths by Age Group by Gender, 2011","Figure 85. Drug/Poison Deaths by Age Group by Gender, 2011","Figure 85. Drug/Poison Deaths by Age Group by Gender, 2011","Figure 85. Drug/Poison Deaths by Age Group by Gender, 2011","Figure 85. Drug/Poison Deaths by Age Group by Gender, 2011","Figure 85. Drug/Poison Deaths by Age Group by Gender, 2011","Figure 85. Drug/Poison Deaths by Age Group by Gender, 2011","Figure 85. Drug/Poison Deaths by Age Group by Gender, 2011",,,,,
140,,,,,,,,,,,,,,,,,,25,
,,Male,,,Female,Female,,,,,,,,,,,,,
,,Male Rate,,,Female Rate,Female Rate,,,,,,,,,,,,,
,,,,,,,,,119,,,,,,,,,,
120,,,,,,,,,,,117,,,,,,,,
,,,,,,,,,,,,115,,,,,,,
,,,,,,,,,,,,,,,,,,20,
100,,,,,,,,,,,,98,,,,,,,
,,,,,,,,,,,84,,,,,,,,
,,,,,,,,,,,,,,,,,,15,
80,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,62,,,,,,
60,,,,,,,,,,58,,,,,,,,,
,,,,,,,,55,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,40,,,,,,
40,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5,
,,,,,,,,22,,,,,,,,,,,
20,,,,,,,,,,,,,,17,,,,,
,,,,,,,11,,,,,,,,,,,,
,,3,,,,,4,,,,,,,3,,,,,
0,1,1,1,0,1,1,,,,,,,,,2,2,0,1,
0,,,,,,,,,,,,,,,,,,0,
"
    ","
    ",1-4,5-9,5-9,10-14,10-14,15-19,20-24,25-34,25-34,35-44,45-54,55-64,65-74,75-84,75-84,85+,,
,,,,,,,,,Age Group (yrs),Age Group (yrs),,,,,,,,,
,,"Table 35. Drug/Poison Deaths by Age Group by Manner, 2011","Table 35. Drug/Poison Deaths by Age Group by Manner, 2011","Table 35. Drug/Poison Deaths by Age Group by Manner, 2011","Table 35. Drug/Poison Deaths by Age Group by Manner, 2011","Table 35. Drug/Poison Deaths by Age Group by Manner, 2011","Table 35. Drug/Poison Deaths by Age Group by Manner, 2011","Table 35. Drug/Poison Deaths by Age Group by Manner, 2011","Table 35. Drug/Poison Deaths by Age Group by Manner, 2011","Table 35. Drug/Poison Deaths by Age Group by Manner, 2011","Table 35. Drug/Poison Deaths by Age Group by Manner, 2011","Table 35. Drug/Poison Deaths by Age Group by Manner, 2011","Table 35. Drug/Poison Deaths by Age Group by Manner, 2011","Table 35. Drug/Poison Deaths by Age Group by Manner, 2011",,,,,
,,,,,,,,Manner of Death,Manner of Death,Manner of Death,Manner of Death,,,,,,,,
,,Age Group,Age Group,,Accident,Accident,Homicide,Homicide,Homicide,Suicide,Suicide,Undetermined,Undetermined,Undetermined,Total,Total,,,
,,"
    ",,,1,1,,0,,,0,,0,,1,1,,,
,,1-4,,,0,0,,0,,,0,,4,,4,4,,,
,,5-9,,,0,0,,0,,,0,,1,,1,1,,,
,,10-14,,,1,1,,0,,,1,,0,,2,2,,,
,,15-19,,,13,13,,0,,,2,,0,,15,15,,,
,,20-24,,,65,65,,0,,,12,,0,,77,77,,,
,,25-34,,,160,160,,0,,,13,,4,,177,177,,,
,,35-44,,,169,169,,0,,,27,,5,,201,201,,,
,,45-54,,,165,165,,1,,,43,,4,,213,213,,,
,,55-64,,,61,61,,0,,,34,,7,,102,102,,,
,,65-74,,,7,7,,0,,,13,,0,,20,20,,,
,,75-84,,,1,1,,0,,,3,,0,,4,4,,,
,,85+,,,1,1,,0,,,0,,0,,1,1,,,
,,Total,,,644,644,,1,,,148,,25,,818,818,,,
Virginia Department of Health,Virginia Department of Health,,,,,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,,,,December 2012,December 2012
