Name: “Table 1 of 1 on page 57 of 178”,Name: “Table 1 of 1 on page 57 of 178”,Name: “Table 1 of 1 on page 57 of 178”,Name: “Table 1 of 1 on page 57 of 178”,Name: “Table 1 of 1 on page 57 of 178”
Table: 57,Table: 57,Table: 57,Table: 57,Table: 57
,,,,
,,,P a g e,| 55
,"Table 12. Accidental Deaths by Method of Death, 2011",,,
Method of Death,,Total Cases,Autopsied,Autopsied
Animal/Insect,,,,
"Bitten, stung, or kicked by animal/insect","Bitten, stung, or kicked by animal/insect",7,3,
Asphyxia,,,,
Choked on food/foreign object,Choked on food/foreign object,32,8,
Drowned,,87,56,
Hanging,,5,1,
Mechanical/Positional,,23,16,
Other,,3,2,
Strangled,,3,2,
Suffocation/Smothering,,12,12,
Drug Use,,,,
Ingested ethanol or other alcohol,Ingested ethanol or other alcohol,13,11,
"Ingested and/or injected illicit, prescription, and/or other type of drug","Ingested and/or injected illicit, prescription, and/or other type of drug",631,550,
Electrical,,,,
Contacted electrical current,Contacted electrical current,8,5,
Exposure,,,,
Exposed to cold,,24,17,
Exposed to heat,,11,4,
Fall/Jump,,,,
Fall/jump from any height,,487,50,
Fire,,,,
Inhalation of Combustion Products,Inhalation of Combustion Products,8,3,
Thermal Burns,,37,21,
Thermal Burns & Inhalation of Combustion Products,Thermal Burns & Inhalation of Combustion Products,20,16,
Motor Vehicle,,,,
Aircraft,,8,7,
All terrain vehicle,,14,2,
Bicycle,,13,2,
Boat,,2,0,
Bus,,5,0,
Car,,403,54,
Construction equipment,,2,2,
Farm equipment,,12,1,
Golf cart,,1,1,
Lawnmower,,3,1,
Mo-ped,,8,2,
Motorcycle,,104,9,
Multiple vehicles,,1,1,
Pickup truck,,101,14,
Skateboard,,1,0,
Sport utility vehicle,,115,24,
Virginia Department of Health,Office of the Chief Medical Examiner,,December 2012,December 2012
