Name: “Table 1 of 1 on page 105 of 178”,Name: “Table 1 of 1 on page 105 of 178”,Name: “Table 1 of 1 on page 105 of 178”,Name: “Table 1 of 1 on page 105 of 178”,Name: “Table 1 of 1 on page 105 of 178”
Table: 105,Table: 105,Table: 105,Table: 105,Table: 105
,,,,
,,,P a g e,| 103
Blunt Force Injuries,,,,
Head/Neck,Head/Neck,62,16,
Chest,,2,0,
Abdomen,,3,2,
Torso,,4,2,
Extremities,Extremities,1,0,
Multiple,,19,5,
Exposure,,,,
Hyperthermia,Hyperthermia,2,2,
Fire Injuries,,,,
Inhalation of Combustion Products,Inhalation of Combustion Products,2,2,
Gunshot Wound,,,,
Handgun,,14,14,
Rifle,,2,2,
Shotgun,,8,8,
Penetrating Injuries,,,,
Stab,,3,3,
Other Penetrating Injuries,Other Penetrating Injuries,1,1,
Substance Abuse,,,,
Prescription Drug Poisoning,Prescription Drug Poisoning,10,10,
Mixed Category Drug Poisoning,Mixed Category Drug Poisoning,1,1,
OTC Poisoning,OTC Poisoning,1,1,
Other Unnatural Deaths,,,,
Other Unnatural,Other Unnatural,11,9,
Unnatural Subtotal,,207,121,
Undetermined Deaths,,Total Cases,Autopsied,
Undetermined After Autopsy and/or Investigation,Undetermined After Autopsy and/or Investigation,,,
Sudden Unexpected Infant Death (SUID),Sudden Unexpected Infant Death (SUID),58,58,
Skeletal/Mummified Remains,Skeletal/Mummified Remains,1,1,
Other Undetermined,Other Undetermined,9,9,
Undetermined Subtotal,,68,68,
TOTAL,,348,258,
Virginia Department of Health,Office of the Chief Medical Examiner,,December 2012,December 2012
