Name: “Table 1 of 1 on page 50 of 178”,Name: “Table 1 of 1 on page 50 of 178”,Name: “Table 1 of 1 on page 50 of 178”,Name: “Table 1 of 1 on page 50 of 178”,Name: “Table 1 of 1 on page 50 of 178”
Table: 50,Table: 50,Table: 50,Table: 50,Table: 50
,,,,
,,,P a g e,| 48
,"Table 11. Total Cases by Cause of Death, 2011","Table 11. Total Cases by Cause of Death, 2011",,
Natural Deaths,,Total Cases,Autopsied,
Pulmonary Diseases/Disorders,Pulmonary Diseases/Disorders,188,117,
,Asthma,13,10,
,COPD,28,6,
,Emboli,45,38,
,Pneumonia,68,45,
,Pulmonary Malignancy,23,10,
,Other Pulmonary Disease/Disorder,11,8,
Central Nervous System Diseases/Disorders,Central Nervous System Diseases/Disorders,77,49,
,Seizure Disorder,21,19,
,Vascular Disease,31,16,
,Degenerative Disease,12,5,
,Meningitis (Bacterial or Viral),4,4,
,CNS Malignancy,1,0,
,Other CNS Disease/Disorder,8,5,
Cardiovascular Diseases/Disorders,Cardiovascular Diseases/Disorders,1082,431,
,Atherosclerosis,542,136,
,Hypertension,178,67,
,Atherosclerosis & Hypertension,167,126,
,Congenital Defect,6,6,
,Vascular Dissection/Ruptures,10,8,
,Valvular,11,10,
,Acute Coronary Insufficiency,76,2,
,Cardiac Dysrhythmia of Undetermined Etiology,28,23,
,Cardiomyopathy NOS,31,26,
,Arrhythmogenic Right Ventricular Dysplasia,5,5,
,Other Cardiac Disease/Disorder,28,22,
Gastrointestinal Diseases/Disorders,Gastrointestinal Diseases/Disorders,103,47,
,GI Hemorrhage,20,5,
,Cirrhosis,17,8,
,Hepatitis,13,4,
,GI Malignancy,22,12,
,Other GI Disease/Disorder,31,18,
Genitourinal Diseases/Disorders,Genitourinal Diseases/Disorders,20,3,
,Renal Disease,12,2,
,Genitourinal Malignancy,7,1,
,Other GU Disease/Disorder,1,0,
Perinatal and Pediatric Diseases/Disorders,Perinatal and Pediatric Diseases/Disorders,32,30,
,Maternal Complications,4,3,
,Fetal Complications,5,5,
,Sudden Infant Death Syndrome (SIDS),16,16,
,Other Perinatal or Pediatric Disorder,7,6,
Virginia Department of Health,Office of the Chief Medical Examiner,,December 2012,December 2012
