Name: “Table 1 of 1 on page 51 of 178”,Name: “Table 1 of 1 on page 51 of 178”,Name: “Table 1 of 1 on page 51 of 178”,Name: “Table 1 of 1 on page 51 of 178”,Name: “Table 1 of 1 on page 51 of 178”
Table: 51,Table: 51,Table: 51,Table: 51,Table: 51
,,,,
,,,P a g e,| 49
Systemic Diseases/Disorders,,238,121,
Blood Disorders,Blood Disorders,5,5,
Diabetes,,48,22,
AIDS/HIV,,4,1,
Sepsis,,23,16,
Other Infectious Disease,Other Infectious Disease,9,8,
Metastatic Malignancy Unknown Primary,Metastatic Malignancy Unknown Primary,2,1,
Chronic Alcoholism,Chronic Alcoholism,123,51,
Chronic Drug Abuse,Chronic Drug Abuse,5,3,
Other Systemic Disease/Disorder,Other Systemic Disease/Disorder,19,14,
Other Natural Diseases/Disorders,Other Natural Diseases/Disorders,16,7,
Other Malignancy,Other Malignancy,6,2,
Other Natural Disease/Disorder,Other Natural Disease/Disorder,10,5,
Natural Subtotal,,1756,805,
Unnatural Deaths,,Total Cases,Autopsied,
Asphyxia,,473,198,
Choking (Aspiration: Food or Foreign Object),Choking (Aspiration: Food or Foreign Object),33,8,
Drowning,,108,72,
Hanging,,203,42,
Mechanical,,28,15,
Positional,,12,8,
Strangulation/Neck Compression,Strangulation/Neck Compression,15,12,
Suffocation/Smothering,Suffocation/Smothering,18,17,
Oxygen Replacement/Displacement,Oxygen Replacement/Displacement,2,0,
Helium,,18,4,
Plastic Bag,,11,6,
CO Poisoning (MV Exhaust),CO Poisoning (MV Exhaust),14,6,
CO Poisoning (Other),CO Poisoning (Other),9,6,
Other Asphyxia,,2,2,
Electrocution,,8,5,
High Voltage,,7,5,
Low Voltage,,1,0,
Exposure,,35,21,
Hyperthermia,,11,4,
Hypothermia,,24,17,
Fire Injuries,,79,51,
Thermal Burns,,11,3,
Inhalation of Combustion Products,Inhalation of Combustion Products,39,23,
Thermal Burns & Inhalation of Combustions,Thermal Burns & Inhalation of Combustions,,,
Products,,29,25,
Judicial Execution,,1,1,
Lethal Injection,,1,1,
Virginia Department of Health,Office of the Chief Medical Examiner,,December 2012,December 2012
