Name: “Table 1 of 1 on page 69 of 178”,Name: “Table 1 of 1 on page 69 of 178”,Name: “Table 1 of 1 on page 69 of 178”,Name: “Table 1 of 1 on page 69 of 178”,Name: “Table 1 of 1 on page 69 of 178”
Table: 69,Table: 69,Table: 69,Table: 69,Table: 69
,,,,
,,,P a g e,| 67
,"Table 15. Suicide Deaths by Method of Death, 2011",,,
Method of Death,,Total Cases,Autopsied,
Asphyxia,,,,
Drowned,,12,10,
Hanging,,196,39,
Helium,,18,4,
Plastic bag,,10,5,
Oxygen replacement/displacement,Oxygen replacement/displacement,2,0,
Other asphyxia,,5,1,
Drug Use,,,,
"Ingested and/or injected illicit, prescription, and/or other type of drug","Ingested and/or injected illicit, prescription, and/or other type of drug",138,118,
Jump,,,,
Jumped from height,,24,8,
Poisoned,,,,
Carbon monoxide poisoning,Carbon monoxide poisoning,17,7,
Ingested ethylene glycol,,3,2,
"Ingested other poison (ex. heavy metals, etc.)","Ingested other poison (ex. heavy metals, etc.)",7,2,
Traumatic Injury,,,,
Cut/Stabbed self,,14,7,
Shot self with firearm,,609,605,
Handgun,,(482),(479),
Rifle,,(53),(53),
Shotgun,,(74),(73),
Other,,,,
Other,,1,1,
Vehicular,,,,
Car,,4,3,
Pickup Truck,,1,1,
Sport Utility Vehicle,,1,0,
Train,,5,4,
TOTAL,,1067,817,
Virginia Department of Health,Office of the Chief Medical Examiner,,December 2012,December 2012
