Name: “Table 1 of 1 on page 65 of 178”,Name: “Table 1 of 1 on page 65 of 178”,Name: “Table 1 of 1 on page 65 of 178”,Name: “Table 1 of 1 on page 65 of 178”,Name: “Table 1 of 1 on page 65 of 178”,Name: “Table 1 of 1 on page 65 of 178”,Name: “Table 1 of 1 on page 65 of 178”,Name: “Table 1 of 1 on page 65 of 178”,Name: “Table 1 of 1 on page 65 of 178”
Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65
,,,,,,,,
,,,,,,,P a g e,| 63
,,,Year of Death,Year of Death,,,,
County/City of Injury,2006,2007,2008,2009,2010,2011,Total,
Southampton,10,15,10,10,11,6,62,
Spotsylvania,29,39,30,29,43,36,206,
Stafford,18,43,25,24,21,23,154,
Staunton,7,6,8,7,5,8,41,
Suffolk,16,36,26,17,30,26,151,
Surry,2,7,4,1,6,2,22,
Sussex,13,15,17,11,12,5,73,
Tazewell,36,11,16,19,25,30,137,
Virginia Beach,101,105,102,110,77,112,607,
Warren,6,11,17,9,25,23,91,
Washington,18,20,22,14,21,28,123,
Waynesboro,7,2,7,6,7,3,32,
Westmoreland,13,10,11,6,11,10,61,
Williamsburg,6,5,3,6,2,9,31,
Winchester,15,2,4,10,7,7,45,
Wise,31,28,15,22,22,23,141,
Wythe,11,14,24,12,13,9,83,
York,14,17,14,7,15,17,84,
TOTAL IN STATE,2316,2334,2224,2105,2080,2274,13333,
Out of State,29,52,46,52,54,54,287,
Unknown,8,18,27,18,14,13,98,
TOTAL,2353,2404,2297,2175,2148,2341,13718,
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,December 2012,December 2012
