Name: “Table 1 of 1 on page 11 of 178”,Name: “Table 1 of 1 on page 11 of 178”,Name: “Table 1 of 1 on page 11 of 178”,Name: “Table 1 of 1 on page 11 of 178”,Name: “Table 1 of 1 on page 11 of 178”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,
,,,Page,| 9
•,Drug deaths continue to be a problem with the overall number of drug/poisoning cases increasing,Drug deaths continue to be a problem with the overall number of drug/poisoning cases increasing,Drug deaths continue to be a problem with the overall number of drug/poisoning cases increasing,
,"significantly, by 18.2%, from the 2010 level giving 2011 the highest rate (9.6 per 100,000) of drug","significantly, by 18.2%, from the 2010 level giving 2011 the highest rate (9.6 per 100,000) of drug","significantly, by 18.2%, from the 2010 level giving 2011 the highest rate (9.6 per 100,000) of drug",
,"deaths to date. For the first time, the overall rate of drug/poison deaths for Virginia residents (9.6 per","deaths to date. For the first time, the overall rate of drug/poison deaths for Virginia residents (9.6 per","deaths to date. For the first time, the overall rate of drug/poison deaths for Virginia residents (9.6 per","deaths to date. For the first time, the overall rate of drug/poison deaths for Virginia residents (9.6 per"
,"100,000) exceeds the rate of death of Virginia residents from motor vehicle collisions (9.4 per 100,000)","100,000) exceeds the rate of death of Virginia residents from motor vehicle collisions (9.4 per 100,000)","100,000) exceeds the rate of death of Virginia residents from motor vehicle collisions (9.4 per 100,000)","100,000) exceeds the rate of death of Virginia residents from motor vehicle collisions (9.4 per 100,000)"
,occurring in Virginia.,"Again, the Western Office handled the greatest proportion of drug deaths in","Again, the Western Office handled the greatest proportion of drug deaths in",
,Virginia as 1/3 of these cases occurred in that district.,Virginia as 1/3 of these cases occurred in that district.,,
•,"Deaths from illegal drugs skyrocketed this year with 143 deaths, up 70.2% from 2010 levels.","Deaths from illegal drugs skyrocketed this year with 143 deaths, up 70.2% from 2010 levels.","Deaths from illegal drugs skyrocketed this year with 143 deaths, up 70.2% from 2010 levels.",
•,"Deaths from any cause are most frequent on Mondays. When broken down by manner of death, most","Deaths from any cause are most frequent on Mondays. When broken down by manner of death, most","Deaths from any cause are most frequent on Mondays. When broken down by manner of death, most","Deaths from any cause are most frequent on Mondays. When broken down by manner of death, most"
,natural and suicide deaths occurred on Monday and most accidental deaths occurred on Friday.,natural and suicide deaths occurred on Monday and most accidental deaths occurred on Friday.,natural and suicide deaths occurred on Monday and most accidental deaths occurred on Friday.,
Final thanks must go to the dedicated and caring staff of the Office of the Chief Medical Examiner who must,Final thanks must go to the dedicated and caring staff of the Office of the Chief Medical Examiner who must,Final thanks must go to the dedicated and caring staff of the Office of the Chief Medical Examiner who must,Final thanks must go to the dedicated and caring staff of the Office of the Chief Medical Examiner who must,Final thanks must go to the dedicated and caring staff of the Office of the Chief Medical Examiner who must
everyday help grieving families navigate the tragedy of their loved one’s death. Their commitment to our,everyday help grieving families navigate the tragedy of their loved one’s death. Their commitment to our,everyday help grieving families navigate the tragedy of their loved one’s death. Their commitment to our,everyday help grieving families navigate the tragedy of their loved one’s death. Their commitment to our,
"mission allows the Virginia OCME to remain a respected, model system for the nation.","mission allows the Virginia OCME to remain a respected, model system for the nation.","mission allows the Virginia OCME to remain a respected, model system for the nation.",,
Virginia Department of Health,Virginia Department of Health,Office of the Chief Medical Examiner,December 2012,December 2012
