Name: “Table 1 of 1 on page 171 of 178”,Name: “Table 1 of 1 on page 171 of 178”,Name: “Table 1 of 1 on page 171 of 178”,Name: “Table 1 of 1 on page 171 of 178”,Name: “Table 1 of 1 on page 171 of 178”
Table: 171,Table: 171,Table: 171,Table: 171,Table: 171
,,,,
,,,P a g e,| 169
Other Natural Diseases/Disorders,,3,1,
Other Malignancy,,2,1,
Other Natural Disease/Disorder,Other Natural Disease/Disorder,1,0,
Natural Subtotal,,70,22,
Unnatural Deaths,,Total Cases,Autopsied,Autopsied
Asphyxia,,3,1,
Choking (Aspiration: Food or Foreign Object),Choking (Aspiration: Food or Foreign Object),2,0,
Hanging,,1,1,
Blunt Force Injuries,,4,4,
Head,,2,2,
Extremities,,1,1,
Multiple,,1,1,
Drug Use,,2,2,
"Ingested and/or injected illicit, prescription, and/or","Ingested and/or injected illicit, prescription, and/or",,,
,,2,2,
other type of drug,,,,
Other Unnatural Deaths,,1,1,
Other Unnatural,,1,1,
Unnatural Subtotal,,10,8,
TOTAL,,80,30,
Virginia Department of Health,Office of the Chief Medical Examiner,,December 2012,December 2012
