Name: “Table 1 of 1 on page 79 of 178”,Name: “Table 1 of 1 on page 79 of 178”,Name: “Table 1 of 1 on page 79 of 178”,Name: “Table 1 of 1 on page 79 of 178”,Name: “Table 1 of 1 on page 79 of 178”,Name: “Table 1 of 1 on page 79 of 178”,Name: “Table 1 of 1 on page 79 of 178”,Name: “Table 1 of 1 on page 79 of 178”,Name: “Table 1 of 1 on page 79 of 178”
Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79
,,,,,,,,
,,,,,,,P a g e,| 77
,,,Year of Death,Year of Death,,,,
County/City of Injury,2006,2007,2008,2009,2010,2011,Total,
Staunton,4,7,1,6,4,4,26,
Suffolk,11,1,10,6,5,14,47,
Surry,0,1,0,4,1,0,6,
Sussex,1,2,1,4,4,1,13,
Tazewell,11,4,4,12,6,6,43,
Virginia Beach,61,50,45,60,64,65,345,
Warren,3,12,8,6,5,7,41,
Washington,6,10,11,13,10,10,60,
Waynesboro,6,3,3,4,2,3,21,
Westmoreland,4,2,4,2,2,5,19,
Williamsburg,10,2,1,1,8,6,28,
Winchester,6,1,7,2,6,5,27,
Wise,9,13,8,4,5,9,48,
Wythe,4,4,8,5,2,7,30,
York,3,8,11,6,11,15,54,
Total in State,882,900,945,969,991,1058,5745,
Out of State,2,6,3,4,4,9,28,
Unknown,0,0,1,1,1,0,3,
TOTAL,884,906,949,974,996,1067,5776,
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,December 2012,December 2012
