Name: “Table 1 of 1 on page 110 of 178”,Name: “Table 1 of 1 on page 110 of 178”,Name: “Table 1 of 1 on page 110 of 178”,Name: “Table 1 of 1 on page 110 of 178”,Name: “Table 1 of 1 on page 110 of 178”
Table: 110,Table: 110,Table: 110,Table: 110,Table: 110
,,,,
,,,P a g e,| 108
"Table 27. Accidental Child Deaths by Method of Death, 2011","Table 27. Accidental Child Deaths by Method of Death, 2011","Table 27. Accidental Child Deaths by Method of Death, 2011",,
Method of Death,,Total Cases,Autopsied,Autopsied
Animal/Insect,,,,
"Bitten, stung, or kicked by animal/insect","Bitten, stung, or kicked by animal/insect",4,1,
Asphyxia,,,,
Choked on food/foreign object,Choked on food/foreign object,3,2,
Drowned,,16,11,
Hanging,,2,1,
Mechanical/Positional,Mechanical/Positional,9,9,
Suffocation/Smothering,Suffocation/Smothering,12,12,
Drug Use,,,,
"Ingested and/or injected illicit, prescription, and/or other","Ingested and/or injected illicit, prescription, and/or other",,,
type of drug,,5,5,
Environmental Exposure,,,,
Hyperthermia,,2,2,
Fall,,,,
Fall from any height,Fall from any height,3,0,
Fire,,,,
Thermal burns and/or inhalation of combustion products,Thermal burns and/or inhalation of combustion products,2,2,
Vehicular,,,,
All terrain vehicle,All terrain vehicle,1,0,
Bicycle,,1,0,
Car,,37,6,
Farm equipment,Farm equipment,1,0,
Motorcycle,,2,0,
Pickup Truck,,6,0,
Skateboard,,1,0,
Sport Utility Vehicle,Sport Utility Vehicle,15,4,
Train,,2,0,
Van,,2,0,
Traumatic Injury,,,,
Accidental discharge of firearm,Accidental discharge of firearm,2,2,
Handgun,,(1),(1),
Shotgun,,(1),(1),
Falling object,,4,1,
Other,,2,2,
TOTAL,,134,60,
Virginia Department of Health,Office of the Chief Medical Examiner,,December 2012,December 2012
