Name: “Table 1 of 1 on page 94 of 178”,Name: “Table 1 of 1 on page 94 of 178”,Name: “Table 1 of 1 on page 94 of 178”,Name: “Table 1 of 1 on page 94 of 178”,Name: “Table 1 of 1 on page 94 of 178”,Name: “Table 1 of 1 on page 94 of 178”,Name: “Table 1 of 1 on page 94 of 178”,Name: “Table 1 of 1 on page 94 of 178”,Name: “Table 1 of 1 on page 94 of 178”
Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94
,,,,,,,,
,,,,,,,P a g e,| 92
,,,Year of Death,Year of Death,,,,
County/City of Injury,2006,2007,2008,2009,2010,2011,Total,
Essex,0,0,0,0,0,1,1,
Fairfax City,1,1,1,0,0,0,3,
Fairfax,29,16,25,19,16,12,117,
Falls Church,0,0,0,0,0,0,0,
Fauquier,2,4,1,3,1,1,12,
Floyd,0,0,2,2,0,1,5,
Fluvanna,0,0,1,0,0,0,1,
Franklin City,0,0,0,2,1,0,3,
Franklin,2,1,1,4,3,2,13,
Frederick,7,0,2,2,1,1,13,
Fredericksburg,0,2,2,1,0,1,6,
Galax,1,1,0,1,0,0,3,
Giles,1,0,0,0,0,1,2,
Gloucester,0,1,1,0,1,2,5,
Goochland,1,0,2,0,1,0,4,
Grayson,0,1,7,0,0,0,8,
Greene,0,1,0,0,0,3,4,
Greensville,5,0,6,4,4,2,21,
Halifax,1,3,4,0,2,2,12,
Hampton,14,7,9,11,17,8,66,
Hanover,2,0,1,0,1,2,6,
Harrisonburg,4,0,1,0,1,2,8,
Henrico,10,15,16,12,12,13,78,
Henry,7,3,6,5,7,6,34,
Highland,0,0,0,0,0,0,0,
Hopewell,4,3,3,4,2,3,19,
Isle of Wight,1,0,2,1,0,0,4,
James City,1,1,1,1,0,2,6,
King and Queen,0,0,0,0,0,0,0,
King George,0,0,0,2,0,0,2,
King William,0,2,0,0,0,1,3,
Lancaster,2,0,1,0,3,1,7,
Lee,0,1,2,1,4,4,12,
Lexington,0,0,0,0,0,0,0,
Loudoun,4,2,4,4,1,2,17,
Louisa,0,4,1,1,3,0,9,
Lunenburg,1,1,2,1,0,0,5,
Lynchburg,2,1,4,0,3,4,14,
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,December 2012,December 2012
