Name: “Table 1 of 1 on page 62 of 178”,Name: “Table 1 of 1 on page 62 of 178”,Name: “Table 1 of 1 on page 62 of 178”,Name: “Table 1 of 1 on page 62 of 178”,Name: “Table 1 of 1 on page 62 of 178”,Name: “Table 1 of 1 on page 62 of 178”,Name: “Table 1 of 1 on page 62 of 178”,Name: “Table 1 of 1 on page 62 of 178”,Name: “Table 1 of 1 on page 62 of 178”
Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62
,,,,,,,,
,,,,,,,P a g e,| 60
"Table 14. Accidental Deaths by City/County of Injury/Acute Illness, 2006-2011","Table 14. Accidental Deaths by City/County of Injury/Acute Illness, 2006-2011","Table 14. Accidental Deaths by City/County of Injury/Acute Illness, 2006-2011","Table 14. Accidental Deaths by City/County of Injury/Acute Illness, 2006-2011","Table 14. Accidental Deaths by City/County of Injury/Acute Illness, 2006-2011","Table 14. Accidental Deaths by City/County of Injury/Acute Illness, 2006-2011","Table 14. Accidental Deaths by City/County of Injury/Acute Illness, 2006-2011",,
,,,Year of Death,Year of Death,,,,
County/City of Injury,2006,2007,2008,2009,2010,2011,Total,
Accomack,22,20,11,19,18,16,106,
Albemarle,17,20,33,25,28,34,157,
Alexandria,21,21,21,22,14,22,121,
Alleghany,10,14,8,5,6,4,47,
Amelia,4,7,11,9,4,8,43,
Amherst,11,8,16,9,5,17,66,
Appomattox,2,6,7,4,3,5,27,
Arlington,18,20,30,34,27,24,153,
Augusta,26,35,38,33,31,27,190,
Bath,2,3,1,4,3,3,16,
Bedford City,3,5,5,4,4,2,23,
Bedford,22,27,16,30,31,24,150,
Bland,0,6,2,7,4,7,26,
Botetourt,12,12,13,11,11,19,78,
Bristol,6,10,3,3,7,5,34,
Brunswick,16,7,6,8,13,8,58,
Buchanan,21,18,19,11,23,18,110,
Buckingham,3,9,6,3,5,5,31,
Buena Vista,0,0,1,2,0,1,4,
Campbell,32,16,31,12,17,14,122,
Caroline,9,14,8,9,13,14,67,
Carroll,17,15,19,11,7,13,82,
Charles City,4,8,7,7,7,6,39,
Charlotte,4,6,6,5,6,9,36,
Charlottesville,21,28,11,16,12,9,97,
Chesapeake,55,60,47,53,43,58,316,
Chesterfield,56,71,92,68,70,74,431,
Clarke,5,6,5,8,10,4,38,
Colonial Heights,6,3,4,2,2,3,20,
Covington,4,0,2,2,0,1,9,
Craig,7,2,2,4,2,2,19,
Culpeper,16,24,12,12,14,15,93,
Cumberland,1,2,4,3,2,3,15,
Danville,16,13,22,20,20,19,110,
Dickenson,11,16,13,5,11,13,69,
Dinwiddie,12,14,20,12,10,8,76,
Emporia,2,8,2,1,3,3,19,
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,December 2012,December 2012
