Name: “Table 1 of 1 on page 104 of 178”,Name: “Table 1 of 1 on page 104 of 178”,Name: “Table 1 of 1 on page 104 of 178”,Name: “Table 1 of 1 on page 104 of 178”,Name: “Table 1 of 1 on page 104 of 178”
Table: 104,Table: 104,Table: 104,Table: 104,Table: 104
,,,,
,,,P a g e,| 102
"Table 26. Child Deaths by Cause of Death, 2011","Table 26. Child Deaths by Cause of Death, 2011","Table 26. Child Deaths by Cause of Death, 2011",,
Natural Deaths,,Total Cases,Autopsied,
Pulmonary Diseases/Disorders,,,,
Asthma,,2,1,
Emboli,,1,1,
Pneumonia,,8,8,
Other Pulmonary Disease/Disorder,Other Pulmonary Disease/Disorder,2,2,
Central Nervous System Diseases/Disorders,Central Nervous System Diseases/Disorders,,,
Meningitis (Bacterial or Viral),Meningitis (Bacterial or Viral),1,1,
Other CNS Disease/Disorder,Other CNS Disease/Disorder,1,1,
Cardiovascular Diseases/Disorders,,,,
Congenital Defect,Congenital Defect,2,2,
Vascular Dissection/Rupture,Vascular Dissection/Rupture,1,1,
Cardiomyopathy NOS,Cardiomyopathy NOS,2,2,
Other Cardiac Disease/Disorder,Other Cardiac Disease/Disorder,3,3,
Gastrointestinal Diseases/Disorders,,,,
Other GI Disease/Disorder,Other GI Disease/Disorder,3,3,
Perinatal and Pediatric Diseases/Disorders,Perinatal and Pediatric Diseases/Disorders,,,
Maternal Complications,Maternal Complications,3,2,
Fetal Complications,Fetal Complications,5,5,
Sudden Infant Death Syndrome (SIDS),Sudden Infant Death Syndrome (SIDS),16,16,
Other Perinatal or Pediatric Disorder,Other Perinatal or Pediatric Disorder,7,6,
Systemic Diseases/Disorders,,,,
Blood Disorder,,1,1,
Sepsis,,8,8,
Other Infectious Disease,Other Infectious Disease,3,3,
Other Systemic Disease/Disorder,Other Systemic Disease/Disorder,3,2,
Other Natural Disease/Disorder,,,,
Other Natural Disease/Disorder,Other Natural Disease/Disorder,1,1,
Natural Subtotal,,73,69,
Unnatural Deaths,,Total Cases,Autopsied,
Asphyxia,,,,
Choking (Aspiration: Food or Foreign Object),Choking (Aspiration: Food or Foreign Object),3,2,
Drowning,,17,12,
Hanging,,14,4,
Mechanical/Positional,Mechanical/Positional,11,11,
Strangulation/Neck Compression,Strangulation/Neck Compression,1,1,
Suffocation/Smothering,Suffocation/Smothering,13,13,
Plastic Bag,,2,0,
Virginia Department of Health,Office of the Chief Medical Examiner,,December 2012,December 2012
