Name: “Table 1 of 1 on page 45 of 178”,Name: “Table 1 of 1 on page 45 of 178”,Name: “Table 1 of 1 on page 45 of 178”,Name: “Table 1 of 1 on page 45 of 178”,Name: “Table 1 of 1 on page 45 of 178”,Name: “Table 1 of 1 on page 45 of 178”,Name: “Table 1 of 1 on page 45 of 178”,Name: “Table 1 of 1 on page 45 of 178”
Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45
,,,,,,,
,,,,,,P a g e,| 43
"Table 10. Total Cases by Manner by City/County of Death, 2011","Table 10. Total Cases by Manner by City/County of Death, 2011","Table 10. Total Cases by Manner by City/County of Death, 2011","Table 10. Total Cases by Manner by City/County of Death, 2011","Table 10. Total Cases by Manner by City/County of Death, 2011","Table 10. Total Cases by Manner by City/County of Death, 2011",,
,Accident,Homicide,Natural,Suicide,Undetermined,,
County/City of Death,Total,Total,Total,Total,Total,Total,
Accomack,15,4,8,6,1,34,
Albemarle,19,0,9,11,0,39,
Alexandria,19,0,45,14,3,81,
Alleghany,4,2,1,4,0,11,
Amelia,6,0,3,3,0,12,
Amherst,13,1,15,5,0,34,
Appomattox,3,1,0,1,0,5,
Arlington,23,0,32,15,1,71,
Augusta,27,3,14,16,2,62,
Bath,2,0,2,0,0,4,
Bedford City,1,0,2,0,1,4,
Bedford,19,0,9,12,0,40,
Bland,5,0,0,1,0,6,
Botetourt,11,0,7,6,0,24,
Bristol,3,1,10,2,0,16,
Brunswick,8,0,5,1,0,14,
Buchanan,18,6,12,1,0,37,
Buckingham,4,1,1,2,0,8,
Buena Vista,1,0,3,0,0,4,
Campbell,4,1,10,9,0,24,
Caroline,10,0,6,1,1,18,
Carroll,12,0,8,8,1,29,
Charles City,5,0,2,2,0,9,
Charlotte,5,1,3,3,1,13,
Charlottesville,56,3,18,8,3,88,
Chesapeake,51,10,52,22,0,135,
Chesterfield,52,11,54,34,2,153,
Clarke,1,0,1,5,0,7,
Colonial Heights,1,2,3,0,0,6,
Covington,1,0,0,2,0,3,
Craig,1,0,1,2,0,4,
Culpeper,12,3,11,6,0,32,
Cumberland,2,0,2,1,0,5,
Danville,23,7,32,6,1,69,
Dickenson,13,2,7,5,0,27,
Dinwiddie,9,0,6,3,0,18,
Emporia,2,1,11,1,0,15,
Essex,10,1,1,2,1,15,
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,December 2012,December 2012
