Name: “Table 1 of 1 on page 52 of 178”,Name: “Table 1 of 1 on page 52 of 178”,Name: “Table 1 of 1 on page 52 of 178”,Name: “Table 1 of 1 on page 52 of 178”,Name: “Table 1 of 1 on page 52 of 178”
Table: 52,Table: 52,Table: 52,Table: 52,Table: 52
,,,,
,,,P a g e,| 50
Gunshot Wound,,863,858,
GSW to Head/Neck,GSW to Head/Neck,621,617,
GSW to Chest,GSW to Chest,100,99,
GSW to Abdomen,GSW to Abdomen,17,17,
GSW to Torso,GSW to Torso,70,70,
GSW to Extremities,GSW to Extremities,7,7,
GSW Multiple,GSW Multiple,48,48,
Blunt Force Injuries,,1459,274,
BFT to Head/Neck,BFT to Head/Neck,643,112,
BFT to Chest,BFT to Chest,93,24,
BFT to Abdomen,BFT to Abdomen,19,11,
BFT to Torso,BFT to Torso,100,27,
BFT to Extremities,BFT to Extremities,156,11,
BFT to Multiple,BFT to Multiple,448,89,
Penetrating Injuries,,55,48,
Incised,,12,7,
Stab,,39,38,
Other Penetrating Injuries,Other Penetrating Injuries,4,3,
Substance Abuse,,818,703,
Ethanol Poisoning,Ethanol Poisoning,15,13,
Prescription Drug Poisoning,Prescription Drug Poisoning,505,446,
Illegal (Street) Drug Poisoning,Illegal (Street) Drug Poisoning,143,120,
Mixed Category Drug Poisoning,Mixed Category Drug Poisoning,113,96,
Inhalant Poisoning,Inhalant Poisoning,6,6,
OTC Poisoning,OTC Poisoning,20,14,
Ethylene Glycol Poisoning,Ethylene Glycol Poisoning,4,3,
Not Otherwise Specified Poisoning,Not Otherwise Specified Poisoning,5,3,
"Other Poisons (Heavy Metals, etc.)","Other Poisons (Heavy Metals, etc.)",7,2,
Other Unnatural Deaths,,28,20,
Other Unnatural,Other Unnatural,28,20,
Unnatural Subtotal,,3820,2180,
Undetermined Deaths,Undetermined Deaths,Total Cases,Autopsied,
Undetermined After Autopsy and/or Investigation,Undetermined After Autopsy and/or Investigation,94,92,
Sudden Unexpected Infant Death (SUID),Sudden Unexpected Infant Death (SUID),58,58,
Skeletal/Mummified Remains,Skeletal/Mummified Remains,8,8,
Other Undetermined,Other Undetermined,28,26,
Undetermined Subtotal,,94,92,
TOTAL,,5670,3077,
Virginia Department of Health,Office of the Chief Medical Examiner,,December 2012,December 2012
