Date ,Report Type ,Street ,Sub-Division
2/9/2005,CREDIT CARD FRAUD ,ABERFELDY WAY ,"HIGHLANDS, THE"
2/12/2005,CITIZEN REQUESTED ASSISTANCE ,ABERFELDY WAY ,"HIGHLANDS, THE"
9/7/2005,"LARCENY,FROM MOTOR VEHICLE ",ACCOMAC TURNING ,RUNNING MAN
8/14/2005,"ASSAULT, SIMPLE, DOMESTIC ",ADELE COURT ,TABB LAKES
4/10/2005,ANNOYING PHONE CALLS ,ALFRED COURT ,"GREENLANDS, THE"
10/11/2005,"DAMAGE PROPERTY, PRIVATE ",ALFRED COURT ,"GREENLANDS, THE"
10/11/2005,GRAND LARCENY ,ALFRED COURT ,"GREENLANDS, THE"
1/12/2005,CITIZEN REQUESTED ASSISTANCE ,AMERSHAM DRIVE ,YORKSHIRE DOWNS
1/17/2005,CITIZEN REQUESTED ASSISTANCE ,AMERSHAM DRIVE ,YORKSHIRE DOWNS
3/28/2005,"ASSAULT, SIMPLE ",AMERSHAM DRIVE ,YORKSHIRE DOWNS
3/28/2005,PETIT LARCENY ,AMERSHAM DRIVE ,YORKSHIRE DOWNS
6/10/2005,TAMPERING WITH AUTO ,AMERSHAM DRIVE ,YORKSHIRE DOWNS
10/6/2005,CURSING/OBSCENE LANGUAGE ,AMERSHAM DRIVE ,YORKSHIRE DOWNS
11/4/2005,"LARCENY,FROM MOTOR VEHICLE ",AMERSHAM DRIVE ,YORKSHIRE DOWNS
1/25/2005,ANNOYING PHONE CALLS ,ANDOVER COURT ,SMITHY GLEN
6/16/2005,"DAMAGE PROPERTY, PRIVATE ",ANDOVER COURT ,SMITHY GLEN
3/17/2005,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",APPALOOSA DRIVE ,YORKSHIRE DOWNS
3/17/2005,POSSESSION OF CONTROLLED SUBSTANCES ,APPALOOSA DRIVE ,YORKSHIRE DOWNS
4/18/2005,"DAMAGE PROPERTY, PRIVATE ",APPALOOSA DRIVE ,YORKSHIRE DOWNS
10/26/2005,CITIZEN REQUESTED ASSISTANCE ,APPALOOSA DRIVE ,YORKSHIRE DOWNS
11/16/2005,DEATH INVESTIGATION ,APPALOOSA DRIVE ,YORKSHIRE DOWNS
11/16/2005,CITIZEN REQUESTED ASSISTANCE ,APPLE LANE ,TABB
5/16/2005,"BURGLARY, RESIDENTIAL ",AQUIA TURN ,RUNNING MAN
5/16/2005,"BURGLARY, RESIDENTIAL ",AQUIA TURN ,RUNNING MAN
10/24/2005,CITIZEN REQUESTED ASSISTANCE ,AQUIA TURN ,RUNNING MAN
3/3/2005,GRAND LARCENY ,ARABIAN CIRCLE ,YORKSHIRE DOWNS
12/4/2005,ASSAULT OR BATTERY BY MOB ,ASCOT DRIVE ,YORKSHIRE DOWNS
8/30/2005,"MANUF, POSSESS, USE EXPLOSIVE MATERIAL, DEVICE ",ASCOT DRIVE & PONSONBY DRIVE ,YORKSHIRE DOWNS
1/17/2005,OVERDOSE ,AUTUMN WAY ,EDGEWOOD
7/3/2005,CITIZEN REQUESTED ASSISTANCE ,AUTUMN WAY ,EDGEWOOD
8/9/2005,"DAMAGE PROPERTY, PRIVATE ",AUTUMN WAY ,EDGEWOOD
11/1/2005,"ASSAULT, SIMPLE, DOMESTIC ",AUTUMN WAY ,EDGEWOOD
11/14/2005,"LARCENY,FROM MOTOR VEHICLE ",AUTUMN WAY ,EDGEWOOD
11/14/2005,"LARCENY,FROM MOTOR VEHICLE ",AUTUMN WAY ,EDGEWOOD
11/14/2005,"LARCENY,FROM MOTOR VEHICLE ",AUTUMN WAY ,EDGEWOOD
11/14/2005,"LARCENY,FROM MOTOR VEHICLE ",AUTUMN WAY ,EDGEWOOD
11/14/2005,"LARCENY,FROM MOTOR VEHICLE ",AUTUMN WAY ,EDGEWOOD
11/16/2005,"ASSAULT, SIMPLE ",AUTUMN WAY ,EDGEWOOD
5/1/2005,CITIZEN REQUESTED ASSISTANCE ,BARCLAY DRIVE ,BARCLAY ACRES
5/2/2005,"LARCENY,FROM MOTOR VEHICLE ",BARRINGTON LANE ,AVERY WOODS
10/17/2005,"BURGLARY, RESIDENTIAL ",BARRINGTON LANE ,AVERY WOODS
10/17/2005,"DAMAGE PROPERTY, PRIVATE ",BARRINGTON LANE ,AVERY WOODS
10/17/2005,"LARCENY,FROM MOTOR VEHICLE ",BARRINGTON LANE ,AVERY WOODS
6/23/2005,ARSON ,BAYBERRY LANE ,SHADY BANKS
11/9/2005,"LARCENY,FROM MOTOR VEHICLE ",BAYBERRY LANE ,SHADY BANKS
7/29/2005,"LARCENY,FROM MOTOR VEHICLE ",BEECHWOOD LANE ,SHADY BANKS
8/1/2005,"BURGLARY, RESIDENTIAL ",BEECHWOOD LANE ,SHADY BANKS
8/1/2005,GRAND LARCENY ,BEECHWOOD LANE ,SHADY BANKS
9/28/2005,CITIZEN REQUESTED ASSISTANCE ,BEECHWOOD LANE ,SHADY BANKS
11/28/2005,"ASSAULT, SIMPLE, DOMESTIC ",BEECHWOOD LANE ,SHADY BANKS
2/11/2005,"DAMAGE PROPERTY, PRIVATE ",BELMONT CIRCLE ,FINCE TERRACE
5/1/2005,"DAMAGE PROPERTY, PRIVATE ",BELMONT CIRCLE ,FINCE TERRACE
6/30/2005,RUNAWAY JUVENILE ,BELMONT CIRCLE ,FINCE TERRACE
8/26/2005,RUNAWAY JUVENILE ,BELMONT CIRCLE ,FINCE TERRACE
11/3/2005,RUNAWAY JUVENILE ,BELMONT CIRCLE ,FINCH TERRACE
6/7/2005,CITIZEN REQUESTED ASSISTANCE ,BENTLY COURT ,YORKSHIRE DOWNS
1/16/2005,ROBBERY ,BIG BETHEL ROAD ,TABB
2/2/2005,POSSESS WEAPON ON SCHOOL PROPERTY ,BIG BETHEL ROAD ,TABB
2/2/2005,POSSESSION OF MARIJUANA ,BIG BETHEL ROAD ,TABB
2/14/2005,"DAMAGE PROPERTY, PRIVATE ",BIG BETHEL ROAD ,TABB
2/16/2005,POSSESSION OF MARIJUANA ,BIG BETHEL ROAD ,TABB
2/27/2005,ABUSE AND NEGLECT OF CHILDREN ,BIG BETHEL ROAD ,TABB
2/27/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BIG BETHEL ROAD ,TABB
2/27/2005,OPERATOR`S LICENSE VIOLATION ,BIG BETHEL ROAD ,TABB
2/27/2005,PETIT LARCENY ,BIG BETHEL ROAD ,TABB
2/27/2005,REFUSE BLOOD/BREATH TEST ,BIG BETHEL ROAD ,TABB
3/7/2005,PETIT LARCENY ,BIG BETHEL ROAD ,TABB
3/11/2005,"DAMAGE PROPERTY, PRIVATE ",BIG BETHEL ROAD ,TABB
3/11/2005,PETIT LARCENY ,BIG BETHEL ROAD ,TABB
3/11/2005,PETIT LARCENY ,BIG BETHEL ROAD ,TABB
3/15/2005,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,TABB
3/15/2005,PETIT LARCENY ,BIG BETHEL ROAD ,TABB
3/18/2005,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,TABB
3/27/2005,CURFEW VIOLATION ,BIG BETHEL ROAD ,TABB
3/27/2005,OBSTRUCTING JUSTICE ,BIG BETHEL ROAD ,TABB
3/27/2005,POSSESSION OF MARIJUANA ,BIG BETHEL ROAD ,TABB
3/27/2005,POSSESSION OF PRODUCT BY PERSONS UNDERAGE ,BIG BETHEL ROAD ,TABB
3/27/2005,TRESPASS ON CHURCH OR SCHOOL PROPERTY ,BIG BETHEL ROAD ,TABB
4/4/2005,"DAMAGE PROPERTY, PRIVATE ",BIG BETHEL ROAD ,TABB
4/5/2005,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,TABB
4/5/2005,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,TABB
4/5/2005,"DAMAGE PROPERTY, PRIVATE ",BIG BETHEL ROAD ,TABB
4/11/2005,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,TABB
4/16/2005,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,TABB
4/20/2005,PETIT LARCENY ,BIG BETHEL ROAD ,TABB
4/21/2005,GAS THEFT ,BIG BETHEL ROAD ,TABB
5/3/2005,PETIT LARCENY ,BIG BETHEL ROAD ,TABB
5/3/2005,POSSESSION OF CONTROLLED SUBSTANCES ,BIG BETHEL ROAD ,TABB
5/3/2005,POSSESSION OF PRODUCT BY PERSONS UNDERAGE ,BIG BETHEL ROAD ,TABB
5/4/2005,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,TABB
5/4/2005,PETIT LARCENY ,BIG BETHEL ROAD ,TABB
5/5/2005,GRAND LARCENY ,BIG BETHEL ROAD ,TABB
5/7/2005,"DAMAGE PROPERTY, PRIVATE ",BIG BETHEL ROAD ,TABB
5/12/2005,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,TABB
5/17/2005,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,TABB
5/17/2005,TRESPASSING ,BIG BETHEL ROAD ,TABB
5/18/2005,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,TABB
6/7/2005,CURSING/OBSCENE LANGUAGE ,BIG BETHEL ROAD ,TABB
6/9/2005,PETIT LARCENY ,BIG BETHEL ROAD ,TABB
6/9/2005,PETIT LARCENY ,BIG BETHEL ROAD ,TABB
6/9/2005,PETIT LARCENY ,BIG BETHEL ROAD ,TABB
7/3/2005,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,TABB
7/8/2005,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,TABB
7/9/2005,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,TABB
7/29/2005,"ASSAULT, SIMPLE, DOMESTIC ",BIG BETHEL ROAD ,TABB
8/2/2005,PETIT LARCENY ,BIG BETHEL ROAD ,TABB
8/7/2005,GAS THEFT ,BIG BETHEL ROAD ,TABB
8/17/2005,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,TABB
8/23/2005,GRAND LARCENY ,BIG BETHEL ROAD ,TABB
8/28/2005,BRANDISHING FIREARM ,BIG BETHEL ROAD ,TABB
8/28/2005,GAS THEFT ,BIG BETHEL ROAD ,TABB
8/30/2005,GAS THEFT ,BIG BETHEL ROAD ,TABB
