Date,Offense,Street,Sub,Zip,Area
6/1/2003,"ASSAULT, SIMPLE",ALEXANDER LEE,248,23690,200
12/5/2003,ANNOYING PHONE CALLS,AMBLER STREET,248,23690,200
3/23/2003,"ASSAULT, SIMPLE",AMBLER STREET,248,23690,200
3/23/2003,"ASSAULT, SIMPLE, DOMESTIC",AMBLER STREET,248,23690,200
6/30/2003,"ASSAULT, SIMPLE, DOMESTIC",AMBLER STREET,248,23690,200
3/23/2003,"DAMAGE PROPERTY, PRIVATE",AMBLER STREET,248,23690,200
5/6/2003,BOMB THREATS,BALLARD STREET,248,23690,200
4/21/2003,CARRYING CONCEALED WEAPON -1ST OFFENSE,BALLARD STREET,248,23690,200
10/4/2003,CITIZEN REQUESTED ASSISTANCE,BALLARD STREET,248,23690,200
1/8/2003,CITIZEN REQUESTED ASSISTANCE,BALLARD STREET,248,23690,200
5/14/2003,CITIZEN REQUESTED ASSISTANCE,BALLARD STREET,248,23690,200
4/24/2003,DISORDERLY CONDUCT,BALLARD STREET,248,23690,200
4/4/2003,FORGING PUBLIC RECORDS,BALLARD STREET,248,23690,200
3/31/2003,"FRAUD-TRICK,FALSE PRETENSES",BALLARD STREET,248,23690,200
4/2/2003,OBSTRUCTING JUSTICE,BALLARD STREET,248,23690,200
4/4/2003,PERJURY,BALLARD STREET,248,23690,200
7/16/2003,PERJURY,BALLARD STREET,248,23690,200
3/16/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,BALLARD STREET & BACON STREET,248,23690,200
5/5/2003,DRIVING W/SUSPENDED OR REVOKED LICENSE,BALLARD STREET & COLONIAL NATION,248,23690,200
5/23/2003,DRIVING W/SUSPENDED OR REVOKED LICENSE,BALLARD STREET & COLONIAL NATION,248,23690,200
5/5/2003,POSSESSION OF MARIJUANA,BALLARD STREET & COLONIAL NATION,248,23690,200
5/23/2003,POSSESSION OF MARIJUANA,BALLARD STREET & COLONIAL NATION,248,23690,200
5/5/2003,RECKLESS - GENERAL,BALLARD STREET & COLONIAL NATION,248,23690,200
3/25/2003,"ASSAULT, SIMPLE",BAPTIST ROAD,104,23690,200
8/22/2003,"BURGLARY, RESIDENTIAL",BAPTIST ROAD,104,23690,200
12/2/2003,CITIZEN REQUESTED ASSISTANCE,BAPTIST ROAD,104,23690,200
3/31/2003,"DAMAGE PROPERTY, PRIVATE",BAPTIST ROAD,104,23690,200
8/14/2003,"DAMAGE PROPERTY, PRIVATE",BAPTIST ROAD,104,23690,200
11/2/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,BAPTIST ROAD,104,23690,200
4/3/2003,"DRUGS, PWID COCAINE",BAPTIST ROAD,104,23690,200
8/22/2003,GRAND LARCENY,BAPTIST ROAD,104,23690,200
1/30/2003,LOST PROPERTY,BAPTIST ROAD,104,23690,200
1/7/2003,PETIT LARCENY,BAPTIST ROAD,104,23690,200
5/1/2003,THREATEN BODILY HARM,BAPTIST ROAD,104,23690,200
12/7/2003,TRESPASSING,BAPTIST ROAD,104,23690,200
4/30/2003,CITIZEN REQUESTED ASSISTANCE,BAPTIST ROAD,104,23690,200
9/29/2003,ABUSE AND NEGLECT OF CHILDREN,BARHAM BLVD,166,23690,200
2/6/2003,ABUSE AND NEGLECT OF CHILDREN,BARHAM BLVD,166,23690,200
9/19/2003,AGGRAVATED MALICIOUS WOUNDING,BARHAM BLVD,166,23690,200
3/30/2003,"ASSAULT, SIMPLE",BARHAM BLVD,166,23690,200
1/14/2003,"ASSAULT, SIMPLE",BARHAM BLVD,166,23690,200
5/18/2003,"ASSAULT, SIMPLE",BARHAM BLVD,166,23690,200
6/22/2003,"ASSAULT, SIMPLE",BARHAM BLVD,166,23690,200
7/17/2003,"ASSAULT, SIMPLE",BARHAM BLVD,166,23690,200
