Building Name,Total Fires in Each Building,Fire Number,Date/Time,Location,Cause of Fire,Number of Injuries that Required Treatment at a Medical Facility,Number of Deaths Related to a Fire,Value of Property Damage Caused by Fire (Dollars)
Ambler Johnston Hall (East) 720 Washington St. SW,0,0,,,N/A,N/A,N/A,N/A
Ambler Johnston Hall (West) 700 Washington St. SW,0,0,,,N/A,N/A,N/A,N/A
Barringer Hall 240 Kent St.,0,0,,,N/A,N/A,N/A,N/A
Brodie Hall 310 Alumni Mall,0,0,,,N/A,N/A,N/A,N/A
Campbell Hall (East) 320 Drillfield Drive,0,0,,,N/A,N/A,N/A,N/A
Campbell Hall (Main) 300 Drillfield Drive,0,0,,,N/A,N/A,N/A,N/A
Cochrane Hall Washington St. SW,0,0,,,N/A,N/A,N/A,N/A
Eggleston Hall (Main) 440 Drillfield Drive,0,0,,,N/A,N/A,N/A,N/A
Eggleston Hall (West) 410 Drillfield Drive,0,1,1/29/2011 2354 hours,2nd floor kitchen,Unintentional – Burnt food,0,0,$0
Graduate Life Center at Donaldson Brown 155 Otey St. NW,0,0,,,N/A,N/A,N/A,N/A
Harper Hall 240 West Campus Drive,0,0,,,N/A,N/A,N/A,N/A
Hillcrest Hall 385 West Campus Drive,0,0,,,N/A,N/A,N/A,N/A
Johnson Hall 500 Washington St SW,0,0,,,N/A,N/A,N/A,N/A
Lee Hall 570 Washington St. SW,3,1,11/14/2009 0418 hours,3rd floor study lounge,Intentional – Hand sanitizer placed on carpet and lit,0,0,"$3,482.72"
Lee Hall 570 Washington St. SW,3,2,11/20/2009 0239 hours,2nd and 3rd floors,Intentional – Paper flyers were set on fire,0,0,$0
Lee Hall 570 Washington St. SW,3,3,12/09/2010 2nd floor kitchen,Unintentional – pizza box left in oven,0,0,$0,
Miles Hall Washington St. SW,0,0,,,N/A,N/A,N/A,N/A
Monteith Hall 170 Turner St. NW ,0,0,,,N/A ,N/A ,N/A ,N/A
New Hall West 190 West Campus Drive ,0,0,,,N/A ,N/A ,N/A ,N/A
New Hall East 540 Washington St. SW ,0,0,,,N/A ,N/A ,N/A ,N/A
Newman Hall 200 Kent St. ,0,0,,,N/A ,N/A ,N/A ,N/A
O'shaughnessy Hall 530 Washington St. SW ,0,0,,,N/A ,N/A ,N/A ,N/A
Payne Hall 380 Drillfield Drive ,0,0,,,N/A ,N/A ,N/A ,N/A
Peddrew-Yates Residence Hall 610 Washington St. SW ,0,0,,,N/A ,N/A ,N/A ,N/A
Pritchard Hall 630 Washington St. SW ,0,0,,,N/A ,N/A ,N/A ,N/A
Rasche Hall 260 Alumni Mall ,0,0,,,N/A ,N/A ,N/A ,N/A
Slusher Tower 280 Drillfield Drive ,0,0,,,N/A ,N/A ,N/A ,N/A
Slusher Wing 280 Drillfield Drive ,1,1,3/01/2011 1631 hours ,1st floor lounge ,Unintentional – Wax left on stove to melt caught on fire ,0,0,$0
Thomas Hall 190 Turner St. NW ,0,0,,,N/A ,N/A ,N/A ,N/A
Vawter Hall 180 Kent St. ,0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. A, 2750 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. B, 2740 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. C, 2720 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. D, 2805 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. E, 2705 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. F, 2615 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. G, 2575 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. H, 3205 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. I, 3160 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. J, 3170 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. K, 3115 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. L, 3115 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. M, 3025 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. N, 3025 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. O, 2965 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. P, 2965 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. Q, 2875 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
"Special Purpose Housing - Bldg. R, 2875 Oak Lane ",0,0,,,N/A ,N/A ,N/A ,N/A
