,On Campus 2009,On Campus 2010,On Campus 2011,Non Campus 2009,Non Campus 2010,Non Campus 2011,Public Property 2009,Public Property 2010,Public Property 2011,Year Total 2009,Year Total 2010,Year Total 2011,Residential 2009,Residential 2010,Residential 2011
Murder & Non negligent Manslaughter,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Negligent Manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sex Offenses, Forcible",8,3,14,0,1,0,0,0,2,8,4,16,5,0,9
"Sex Offenses, Non Forcible",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robbery,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Aggravated Assault,0,3,2,0,0,1,2,0,0,2,3,3,0,2,1
Burglary,291,42,29,0,3,1,0,0,0,29,45,30,23,17,12
Motor Vehicle Theft,4,5,2,0,1,1,0,0,0,4,6,3,0,0,0
Arson,3,1,0,0,1,0,0,0,0,3,2,0,2,0,0
Liquor Law Violations Referred,637,415,530,0,0,0,0,0,0,637,415,530,587,377,457
Liquor Law Arrests,244,262,289,5,1,1,7,1,9,259,273,299,48,53,85
Drug Law Violations Referred,21,20,22,0,0,0,0,0,0,21,20,22,17,17,10
Drug Law Arrests,32,55,67,2,1,1,6,4,5,40,60,73,17,33,34
Illegal Weapons Possession Referred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illegal Weapons Possession Arrests,1,0,2,0,0,0,0,1,1,1,1,3,0,0,0
