Call for Service Type,January,February,March,April,May,June,July,August,September,October,November,December,2014
ALL OTHER CALLS,21,31,22,28,32,22,34,27,0,0,0,0,217
LOCKOUT,36,20,25,29,25,21,16,27,0,0,0,0,199
TRAFFIC STOPS,24,19,21,16,23,28,36,33,0,0,0,0,200
DISTURBANCES,10,5,10,11,15,17,19,12,0,0,0,0,99
AGENCY ASSIST,11,2,4,6,8,16,22,8,0,0,0,0,77
TRAFFIC SUMMONS,8,9,10,7,12,14,11,13,0,0,0,0,84
ALARMS,14,12,9,8,8,14,6,16,0,0,0,0,87
MISC. TRAFFIC CALLS,3,6,4,7,9,4,3,7,0,0,0,0,43
ACCIDENTS,6,4,5,10,6,8,4,3,0,0,0,0,46
ARRESTS,3,2,4,7,10,3,5,3,0,0,0,0,37
DOMESTICS,5,2,3,1,3,0,4,3,0,0,0,0,21
GRAND LARCENY,1,1,0,3,1,1,3,1,0,0,0,0,11
PETIT LARCENY,1,1,6,5,4,3,5,3,0,0,0,0,28
PARKING TICKETS,1,0,1,2,0,1,3,0,0,0,0,0,8
VANDALISM,0,2,1,0,1,0,2,2,0,0,0,0,8
B\E,2,0,0,1,1,2,1,1,0,0,0,0,8
ASSAULTS,1,0,0,1,1,0,1,3,0,0,0,0,7
TOTAL MONTHLY EVENTS,147,116,125,142,159,154,175,162,0,0,0,0,1180
