Section,Description,Count,% of Title 18 Total,Title 18% Custodial,Title 18% Summons,Title 18 Rank
18.2-388,PROFANE SWEARING OR INTOXICATION IN PUBLIC,375,22%,85%,15%,1
18.2-371.2,UNDERAGE POSSESSION/PURCHASE OF TOBACCO PRODUCT,309,18%,2%,98%,2
18.2-250.1,POSSESSION OF MARIJUANA,240,14%,11%,89%,3
18.2-96,PETIT LARCENY,81,5%,65%,35%,4
18.2-204.2,IDENTITY THEFT: POSSESS FICTITIOUS ID CARD,79,5%,11%,89%,5
18.2-103,SHOPLIFT/ALTER PRICE: LARCENY,63,4%,46%,54%,6
18.2-111,EMBEZZLEMENT,54,3%,76%,24%,7
18.2-250,POSSESSION OF CONTROLLED SUBSTANCES,41,2%,95%,5%,8
18.2-204.1,"FRAUDUL USE BIRTH CERTIFICATE, DRIVERS LI",37,2%,14%,86%,9
18.2-104,LARCENY OR THEFT,34,2%,100%,0%,10
18.2-248,"MANUF, SALE, POSS. CONTROLLED SUB…",30,2%,100%,0%,11
18.2-57,ASSAULT:,25,1%,92%,8%,12
18.2-248.1,DRUGS: DISTIB/PWI MARIJUANA,23,1%,87%,13%,13
18.2-265.3,SALE OF DRUG PARAPHERNALIA,22,1%,73%,27%,14
18.2-460,OBSTRUCTING JUSTICE,21,1%,76%,24%,15
18.2-308.2,"POSSESS, TRANSPORT FIREARMS BY CONVICTED FELONS",18,1%,100%,0%,16
18.2-387,INDECENT EXPOSURE,18,1%,6%,94%,17
18.2-415,DISORDERLY CONDUCT,17,1%,41%,59%,18
18.2-479.1,RESISTING ARREST,15,1%,93%,7%,19
18.2-266,DRIVING UNDER THE INFLUENCE OF ALCOHOL,14,1%,100%,0%,20
18.2-371,CONTRIBUTING TO THE DELINQUENCY OF A MINOR,14,1%,57%,43%,21
18.2-256,CONSPIRACY TO VIOLATE DRUG CONTROL ACT -FELONY,10,1%,100%,0%,22
18.2-112,EMBEZZLEMENT OF PUBLIC FUNDS,9,1%,100%,0%,23
18.2-119,TRESPASSING,9,1%,56%,44%,24
18.2-308,CARRYING CONCEALED WEAPON,7,0%,57%,43%,25
18.2-328,CONDUCT ILLEGAL GAMBLING OPERATION,7,0%,100%,0%,26
18.2-387.1,"SEXUAL DISPLAY: MASTURBATION, ACTUAL/SIMULATED",7,0%,0%,100%,27
18.2-186.3,IDENTITY THEFT: OBTAIN ID TO AVOID ARR…,6,0%,67%,33%,28
18.2-193,CREDIT CARD FORGERY,6,0%,100%,0%,29
18.2-195,CREDIT CARD FRAUD,6,0%,83%,17%,30
18.2-323.1,DRINKING WHILE DRIVING OR OPEN CONT…,6,0%,17%,83%,31
18.2-137,"DESTRUCTION OF PROPERTY, MONUMENT",5,0%,60%,40%,32
18.2-181,ISSUING BAD CHECKS,5,0%,80%,20%,33
18.2-272,DRIVING AFTER FORFEITURE OF LICENSE,5,0%,20%,80%,34
18.2-95,GRAND LARCENY,5,0%,80%,20%,35
18.2-168,FORGING PUBLIC RECORDS,4,0%,100%,0%,36
18.2-460,RESISTING ARREST,4,0%,75%,25%,37
18.2-174,IMPERSONATION: LAW ENFORCEMENT,3,0%,100%,0%,38
18.2-264,INHALING DRUGS OR INDUCING OTHERS TO,3,0%,33%,67%,39
18.2-300,UNLAWFUL POSSESSION OR USE OF SAWED OFF SHOTGUN,3,0%,100%,0%,40
18.2-434,PERJURY: FALSELY SUBSCRIBE WRITTEN DECLARATION,3,0%,100%,0%,41
18.2-456,CONTEMPT OF COURT: FAIL TO APPEAR CAPIAS,3,0%,100%,0%,42
18.2-108,RECEIVING STOLEN GOODS,2,0%,50%,50%,43
18.2-108.01,"STOLEN PROPERTY: W/ INTENT TO SELL, LARCENY",2,0%,100%,0%,44
18.2-258,DRUGS: OWN OR MAINTAIN COMMON NUISANCE,2,0%,100%,0%,45
18.2-282,BRANDISHING FIREARM,2,0%,100%,0%,46
18.2-331,ILLEGAL POSSESSION OF GAMBLING DEVICE,2,0%,0%,100%,47
18.2-89,BURGLARY,2,0%,100%,0%,48
18.2-102,"UNAUTHORIZED USE OF VEHICLE, BOAT OR ANIMAL",1,0%,100%,0%,49
18.2-178,"OBTAIN MONEY/ETC: FALSE PRETENSE, LARCENY",1,0%,100%,0%,50
18.2-192,CREDIT CARD THEFT,1,0%,100%,0%,51
18.2-22,CONSPIRACY TO COMMIT FELONY,1,0%,100%,0%,52
18.2-23,CONSPIRE TO COMMIT LARCENY,1,0%,100%,0%,53
18.2-251,"DRUGS/ALCOHOL: 1ST OFFENDER VIOLATION, ORIG MISD",1,0%,0%,100%,54
18.2-258.1,PRESCRIPTIONS: OBTAIN BY FRAUD/Forgery…,1,0%,100%,0%,55
18.2-268.3,REFUSE BLOOD/BREATH TEST,1,0%,100%,0%,56
18.2-290,UNLAWFUL POSSESS OR AGGRESSIVE USE MACHINE GUN,1,0%,100%,0%,57
18.2-308.4,POSS FIREARM WHILE IN POSSESSION OF DRUGS,1,0%,100%,0%,58
18.2-311,"SELLING, POSSESS BLACKJACKS",1,0%,0%,100%,59
18.2-346,PROSTITUTION OR SOLICITATION OF PROS…,1,0%,0%,100%,60
18.2-416,ABUSIVE LANGUAGE TO ANOTHER,1,0%,100%,0%,61
18.2-427,"PROFANE, THREATENING LANGUAGE OVER PUBLIC AIRWAY",1,0%,100%,0%,62
18.2-57.2,ASSAULT & BATTERY -FAMILY MEMBER,1,0%,100%,0%,63
18.2-92,BREAKING & ENTER W/INT TO COMMIT…,1,0%,100%,0%,64
