Offenses,Under 10,10--12,13--14,15,16,17,Total
Murder/Nonnegligent Manslaughter ,0,0,0,3,4,3,10
Negligent Manslaughter ,0,0,0,0,0,0,0
Kidnaping/Abduction ,0,5,10,5,9,13,42
Forcible Rape ,0,1,13,3,10,8,35
Forcible Sodomy ,1,6,29,11,7,8,62
Sexual Assault with an Object ,0,1,8,6,2,5,22
Forcible Fondling ,0,25,46,16,16,9,112
Robbery ,1,3,41,42,67,121,275
Aggravated Assault ,2,21,73,54,56,81,287
Simple Assault ,42,387,1020,685,666,661,3461
Intimidation ,2,25,49,36,25,33,170
Arson ,5,11,28,13,7,10,74
Extortion/Blackmail ,0,1,5,1,1,2,10
Burglary/Breaking & Entering ,3,29,100,133,140,218,623
Pocket Picking ,0,2,8,9,8,5,32
Purse Snatching ,0,0,2,0,0,1,3
Shoplifting ,4,79,348,322,413,465,1631
Theft from Building ,0,16,52,40,37,38,183
Theft from Coin-Operated Device ,0,0,0,0,0,0,0
Theft from Motor Vehicle ,0,3,12,12,14,30,71
Theft of Motor Vehicle Parts ,0,0,1,0,2,1,4
All Other Larceny ,11,114,343,332,439,504,1743
Motor Vehicle Theft ,0,0,28,30,30,38,126
Counterfeiting/Forgery ,0,1,2,2,7,19,31
False Pretenses/Swindle/Confidence Game ,0,2,10,10,16,22,60
Credit Card/Teller Machine Fraud ,0,1,12,6,12,9,40
Impersonation ,0,1,3,6,13,10,33
Welfare Fraud ,0,0,0,0,0,0,0
Wire Fraud,0,0,0,0,0,0,0
