Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,2,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,6,0,1,0,0,0,1,0,2,0,5,0,0,0,15,4,0,0,4,0,0,0,2,0,2,0,0,0,0,0,12,3,20,1,0,0,11,1,0,0,11,0,0,0,84,0,5,0,1,0,1,0,4,0,20,1,0,0,1,0,0,0,220,10
Manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Kidnaping,0,1,0,1,5,0,0,0,10,0,28,3,3,0,0,0,12,0,0,0,0,0,8,0,6,1,14,0,3,0,30,0,6,0,15,0,0,0,11,0,17,0,4,2,0,0,66,1,70,6,3,0,26,0,3,0,38,1,2,0,76,0,14,0,1,0,3,0,38,2,52,3,2,0,6,0,4,0,576,21
"Sex Offenses, Forcible",10,0,2,1,1,1,0,1,7,1,20,5,7,2,0,0,9,1,0,1,1,0,1,0,8,0,4,0,1,0,22,8,7,0,11,0,0,0,15,4,5,1,1,0,2,0,33,5,72,16,0,1,8,3,0,1,16,2,5,0,37,0,11,1,3,0,12,0,7,0,94,26,8,2,2,0,5,0,447,83
Robbery,28,10,1,0,3,0,0,0,22,3,18,4,5,1,0,0,15,0,6,2,2,1,1,0,3,0,15,0,0,0,44,8,10,4,16,0,0,0,21,9,15,6,0,0,4,0,49,14,93,32,4,0,21,0,0,0,39,10,12,1,211,13,39,11,15,2,2,0,18,2,139,25,1,0,2,2,7,1,881,161
Aggravated Assault,47,6,2,0,22,1,3,0,46,2,126,21,12,1,1,0,52,3,6,1,6,0,5,0,9,0,52,0,10,0,84,14,31,3,59,0,0,0,75,1,38,4,7,0,16,1,250,37,195,29,3,0,73,2,2,3,132,4,39,1,334,6,132,10,8,0,18,1,60,2,183,11,7,0,7,1,11,0,2163,165
Simple Assault/Intimidation,326,52,79,7,144,1,26,1,338,3,946,25,120,25,48,0,599,12,51,2,67,3,32,6,99,2,217,13,58,5,945,143,267,25,243,0,4,0,688,22,195,16,39,5,192,1,1533,125,819,12,33,2,378,27,36,4,944,12,110,9,1647,167,1217,68,145,24,191,7,603,6,2469,339,161,16,77,7,173,10,16259,1204
Arson,0,2,0,0,3,0,0,0,1,0,2,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,7,2,0,0,0,0,0,0,0,1,0,0,1,0,3,0,12,5,7,11,0,0,0,0,0,2,0,1,1,0,7,1,5,0,0,0,1,0,3,0,3,5,0,0,0,0,0,0,63,31
Extortion/Blackmail,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,14,8
Burglary,21,0,6,0,18,0,0,0,21,1,66,5,12,1,4,0,53,6,3,0,2,0,0,0,26,6,10,0,5,1,172,63,23,4,21,0,0,0,38,3,8,3,7,5,9,0,87,53,122,38,4,0,32,6,2,1,99,24,14,2,133,22,67,10,26,3,13,1,43,6,168,39,8,9,4,0,3,0,1350,312
