Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Cities,,,,
Alexandria PD,307,258,49,95
Bedford PD,23,21,2,3
Bristol PD,52,45,7,20
Buena Vista PD,14,14,0,2
Charlottesville PD,113,100,13,26
Chesapeake PD,384,318,66,132
Clifton Forge PD,10,9,1,2
Colonial Heights PD,50,45,5,4
Covington PD,17,14,3,8
Danville PD,126,104,22,9
Emporia PD,26,26,0,10
Fairfax PD,67,60,7,17
Falls Church PD,32,24,8,12
Franklin PD,27,26,1,13
Fredericksburg PD,71,56,15,28
Galax PD,24,22,2,14
Hampton PD,277,233,44,108
Harrisonburg PD,89,85,4,16
Hopewell PD,63,57,6,17
Lexington PD,17,14,3,2
Lynchburg PD,169,155,14,24
Manassas PD,97,72,25,26
Manassas Park PD,32,31,1,12
Martinsville PD,44,41,3,5
Newport News PD,426,361,65,133
Norfolk PD,763,684,79,94
Norton PD,16,16,0,8
Petersburg PD,105,88,17,34
Poquoson PD,23,21,2,1
Portsmouth PD,247,213,34,96
Radford PD,36,32,4,12
Richmond PD,703,592,111,163
Roanoke PD,252,218,34,44
Salem PD,61,58,3,28
Staunton PD,51,44,7,15
Suffolk PD,175,134,41,50
Virginia Beach PD,782,679,103,173
Waynesboro PD,44,39,5,10
Williamsburg PD,37,29,8,3
Winchester PD,74,62,12,25
CITY TOTAL,5926,5100,826,1494
