Group A Offense* ,Number 2013,2013,2012,2011,2010,2009,2008,2007
Murder/Nonnegligent Manslaughter* ,317,3.84,3.86,3.77,4.61,4.43,4.75,5.33
Kidnaping/Abduction* ,"1,499",18.15,18.17,18.22,20.18,23.44,27.33,29.28
Forcible Sex Offenses* ,"4,888",59.17,62.22,63.04,62.25,60.63,67.69,68.94
Robbery ,"4,555",55.14,57.77,67.32,70.99,80.19,96.36,100.37
Aggravated Assault* ,"9,096",110.12,111.75,109.19,120.32,125.8,134.33,144.25
Simple Assault/Intimidation* ,"91,828",1111.69,1184.68,1229.47,1271.09,1247.5,1270.37,1278.19
Arson ,944,11.43,15.26,14.41,15.42,16.63,18.86,21.54
Extortion/Blackmail ,144,1.74,1.51,1.4,1.9,1.48,1.8,1.4
Burglary ,"26,300",318.39,351.33,375.94,378.61,396.33,408.66,408.85
Larceny ,"136,878",1657.04,1719.87,1784.59,1849.06,1920.66,1976.38,1921.63
Motor Vehicle Theft ,"8,318",100.7,108.06,118.77,129.91,145.27,169.4,182.66
Counterfeiting/Forgery ,"6,007",72.72,83,87.37,89.25,94.78,93.27,96.9
Fraud ,"30,135",364.81,342.03,321.62,307,310.95,314.58,303.7
Embezzlement ,"2,757",33.38,32.37,35.05,33.75,36.87,46.9,50.31
Stolen Property ,"1,407",17.03,16.39,17.96,19.41,22.39,23.59,23.29
Damage/Vandalism ,"62,328",754.54,856.2,912.64,971.05,1055.03,1189.99,1223.79
Drug/Narcotic Offenses ,"57,502",696.12,676.9,625.57,591.35,570.27,593.67,619.66
Nonforcible Sex Offenses* ,189,2.29,2.39,2.61,2.55,2.71,2.96,2.83
Pornography ,1052,12.74,8.72,8.44,7.75,7.03,5.95,4.75
Gambling ,49,0.59,0.78,1.93,1.04,1.46,0.76,0.92
Prostitution ,"1,022",12.37,12.13,11.73,12.36,14.51,9.22,10.7
Bribery ,24,0.29,0.32,0.31,0.4,0.29,0.37,0.22
Weapon Law Violations ,"8,921",108,110.54,111.92,112.72,117.31,133.01,137.03
* Crime counts are number of victims for offenses against a person and number of offenses for all other offenses.,,,,,,,,
