Type of Weapon/Force,Murder/Nonnegligent Manslaughter,Aggravated Assault,Forcible Rape,Forcible Sodomy,Sexual Assault with an Object,Forcible Fondling,Robbery
Firearm (type unknown) ,75,463,1,2,0,1,322
Automatic Firearm ,3,21,0,0,0,0,41
Handgun ,100,786,19,3,1,4,1623
Automatic Handgun ,19,102,1,0,0,0,262
Rifle ,3,45,1,0,0,1,30
Automatic Rifle ,1,3,0,0,0,0,3
Shotgun ,6,59,1,0,0,0,88
Automatic Shotgun ,0,0,0,0,0,0,0
Other Firearm ,2,88,3,0,0,0,39
Other Auto. Firearm ,0,4,0,0,0,0,2
Knife/Cutting Instr. ,30,1676,24,7,1,9,318
Blunt Object ,7,973,3,1,5,2,99
Motor Vehicle ,3,304,0,0,0,0,3
Personal Weapon ,22,2380,889,345,196,1670,1373
Poison ,0,17,0,0,0,0,0
Explosives ,0,3,0,0,0,0,3
Fire/Incend. Device ,5,22,0,0,0,0,2
Drugs/Narc./Sleep Pills ,3,5,8,0,0,0,0
Asphyxiation ,4,39,2,1,1,1,1
Other ,13,853,108,43,19,108,149
Unknown ,10,221,77,26,18,101,194
