Drug Type,Under 10,10--12,13--14,15,16,17,18,19,20,21,22,23,24,25 29,30 34,35 39,40 44,45 49,50 54,55 59,60 64,65 & Over,Total
Crack Cocaine ,0,0,0,0,3,2,41,34,48,62,64,60,89,407,334,209,174,180,155,85,30,12,1989
Cocaine ,0,0,0,0,2,6,23,48,49,54,84,81,88,391,356,270,136,112,69,52,22,8,1851
Hashish ,0,0,0,0,0,0,1,2,6,3,2,4,4,8,8,2,0,0,2,0,0,0,42
Heroin ,0,0,0,0,3,11,23,38,60,75,85,103,93,352,319,189,155,120,87,49,11,5,1778
Marijuana ,3,26,241,334,597,909,2053,2172,2105,1963,1674,1439,1254,4126,2258,1250,811,677,454,252,110,68,24776
Morphine ,0,0,1,1,1,0,2,3,0,6,10,3,5,26,23,4,15,15,15,8,2,2,142
Opium ,0,0,0,0,0,0,1,1,3,2,2,1,3,15,13,11,5,5,3,3,0,0,68
Other Narcotic ,1,2,6,9,16,17,28,61,54,83,66,69,68,323,335,270,181,149,125,68,33,28,1992
LSD ,0,0,0,0,0,5,2,3,4,5,4,0,2,9,2,1,0,0,0,0,0,0,37
PCP ,0,0,0,0,0,0,1,0,1,1,3,1,6,25,27,17,7,11,2,0,0,0,102
Other Hallucinogens ,0,0,0,0,3,3,8,6,10,12,7,8,9,18,14,10,10,2,3,0,3,0,126
Amphetamines/Methamphetamines ,0,0,1,3,3,9,31,32,30,33,33,34,35,151,184,102,88,50,46,15,2,1,883
Other Stimulants ,0,0,2,1,2,2,6,8,3,3,5,4,4,15,15,9,9,5,0,1,0,0,94
Barbiturates ,0,0,0,0,0,0,0,0,3,1,0,2,4,13,3,5,5,1,1,0,0,0,38
Other Depressants ,0,0,0,1,1,4,2,8,13,5,6,4,6,33,26,24,18,17,8,6,3,0,185
Other Drugs ,0,1,6,13,14,24,40,38,39,40,50,39,52,172,143,89,83,72,55,14,6,10,1000
Unknown Drug Type ,0,4,23,49,82,133,289,327,284,319,244,260,225,834,577,314,223,201,164,89,29,12,4682
TOTAL ,4,33,280,411,727,1125,2551,2781,2712,2667,2339,2112,1947,6918,4637,2776,1920,1617,1189,642,251,146,39785
