Offenses,Number of Arrests,Percent Distribution,"Rate per 100,000 Inhabitants"
Murder/Nonnegligent Manslaughter  ,326,0.23,3.95
Negligent Manslaughter,4,0,0.05
Kidnaping/Abduction  ,1137,0.81,13.76
Forcible Rape,333,0.24,4.03
Forcible Sodomy  ,197,0.14,2.38
Sexual Assault with an Object,124,0.09,1.5
Forcible Fondling,611,0.44,7.4
Robbery,1713,1.23,20.74
Aggravated Assault  ,4442,3.18,53.77
Simple Assault  ,34400,24.61,416.44
Intimidation  ,1249,0.89,15.12
Arson,202,0.14,2.45
Extortion/Blackmail  ,51,0.04,0.62
Burglary/Breaking & Entering  ,3924,2.81,47.5
Pocket Picking,348,0.25,4.21
Purse Snatching,18,0.01,0.22
Shoplifting  ,15393,11.01,186.35
Theft from Building,1029,0.74,12.46
Theft from Coin-Operated Machine or Device,23,0.02,0.28
Theft from Motor Vehicle,377,0.27,4.56
Theft of Motor Vehicle Parts or Accessories  ,97,0.07,1.17
All Other Larceny  ,14653,10.48,177.39
Motor Vehicle Theft  ,859,0.61,10.4
Counterfeiting/Forgery,1975,1.41,23.91
False Pretenses/Swindle/Confidence Game,3077,2.2,37.25
Credit Card/Automatic Teller Machine Fraud  ,507,0.36,6.14
Impersonation  ,911,0.65,11.03
Welfare Fraud  ,88,0.06,1.07
Wire Fraud,5,0,0.06
Embezzlement  ,1527,1.09,18.49
Stolen Property Offenses,954,0.68,11.55
Destruction/Damage/Vandalism of Property,4156,2.97,50.31
Drug/Narcotic Violations,39785,28.47,481.63
Drug Equipment Violations  ,520,0.37,6.3
Incest,5,0,0.06
Statutory Rape,86,0.06,1.04
Pornography/Obscene Material  ,236,0.17,2.86
Betting/Wagering  ,41,0.03,0.5
Operating/Promoting/Assisting Gambling  ,9,0.01,0.11
Gambling Equipment Violations,7,0.01,0.08
Sports Tampering  ,0,-- ,--
Prostitution,458,0.33,5.54
Assisting or Promoting Prostitution,395,0.28,4.78
Bribery,13,0.01,0.16
Weapon Law Violations,3500,2.5,42.37
TOTAL  ,139765,100,1691.99
