Group B Offense Categories,Male,Female,"Rate per 100,000 Inhabitants"
Bad Checks,667,830,18.12
Curfew/Loitering/Vagrancy Violations ,1099,537,19.81
Disorderly Conduct,3159,1373,54.86
Driving Under the Influence,20091,6391,320.59
Drunkenness ,23495,5134,346.58
"Family Offenses, Nonviolent ",2068,546,31.64
Liquor Law Violations ,7665,2772,126.35
Peeping Tom,37,1,0.46
Runaway,1492,1886,40.89
Trespass of Real Property,7041,1845,107.57
Conspiracy to Commit Group A Offense,104,48,1.84
All Other Offenses (except most traffic),70894,26564,1179.82
Total ,137812,47927,2248.55
