Relationship of Victim to Offender (may include multiple relationships),Number
Spouse,458
Common-Law Spouse,31
Parent,188
Sibling,235
Child,467
Grandparent,18
Grandchild,24
In-Law,54
Stepparent,36
Stepchild,45
Stepsibling,6
Other Family Member,212
Victim Was Offender,436
Acquaintance,1901
Friend,380
Neighbor,118
Babysittee (the baby),19
Boyfriend/Girlfriend,1121
Child of Boyfriend/Girlfriend,43
Homosexual Relationship,35
Ex-Spouse,41
Employee,23
Employer,8
Otherwise Known,1068
Relationship Unknown,2427
Victim Was Stranger,1668
