"OFFENSE","YEAR","ON-CAMPUS PROPERTY","ON-CAMPUS STUDENT HOUSING FACILITIES","NON-CAMPUS PROPERTY","PUBLIC PROPERTY"
"Murder/Non-Negligent Manslaughter",2011,0,0,0,0
"Murder/Non-Negligent Manslaughter",2012,0,0,0,0
"Murder/Non-Negligent Manslaughter",2013,0,0,0,0
"Negligent Manslaughter",2011,0,0,0,0
"Negligent Manslaughter",2012,0,0,0,0
"Negligent Manslaughter",2013,0,0,0,0
"Sex Offenses, Forcible",2011,1,1,0,0
"Sex Offenses, Forcible",2012,1,1,0,0
"Sex Offenses, Forcible",2013,5,5,0,0
"Sex Offenses, Non- Forcible",2011,0,0,0,0
"Sex Offenses, Non- Forcible",2012,0,0,0,0
"Sex Offenses, Non- Forcible",2013,0,0,0,0
"Robbery",2011,0,0,0,0
"Robbery",2012,0,0,0,0
"Robbery",2013,0,0,0,0
"Aggravated Assault",2011,0,0,0,0
"Aggravated Assault",2012,0,0,0,0
"Aggravated Assault",2013,0,0,0,0
"Burglary",2011,1,1,0,0
"Burglary",2012,1,1,0,0
"Burglary",2013,3,2,1,0
"Motor Vehicle Theft",2011,0,0,0,0
"Motor Vehicle Theft",2012,3,0,0,0
"Motor Vehicle Theft",2013,0,0,0,0
"Arson",2011,0,0,0,0
"Arson",2012,1,0,0,0
"Arson",2013,0,0,0,0
"Arrests: Weapons: Carrying, Possessing, etc.",2011,0,0,0,0
"Arrests: Weapons: Carrying, Possessing, etc.",2012,1,0,0,0
"Arrests: Weapons: Carrying, Possessing, etc.",2013,0,0,0,0
"Disciplinary Referrals: Weapons: Carrying, Possessing, etc.",2011,0,0,0,0
"Disciplinary Referrals: Weapons: Carrying, Possessing, etc.",2012,2,1,0,0
"Disciplinary Referrals: Weapons: Carrying, Possessing, etc.",2013,0,0,0,0
"Arrests: Drug Abuse Violations",2011,2,2,0,0
"Arrests: Drug Abuse Violations",2012,2,0,0,0
"Arrests: Drug Abuse Violations",2013,1,0,0,1
"Disciplinary Referrals: Drug Abuse Violations",2011,4,4,0,3
"Disciplinary Referrals: Drug Abuse Violations",2012,12,12,0,3
"Disciplinary Referrals: Drug Abuse Violations",2013,18,16,5,2
"Arrests: Liquor Law Violations2011",2,1,0,0,
"Arrests: Liquor Law Violations2012",0,0,0,0,
"Arrests: Liquor Law Violations2013",0,0,0,0,
"Disciplinary Referrals: Liquor Law Violations2011",118,117,0,0,
"Disciplinary Referrals: Liquor Law Violations2012",174,171,3,0,
"Disciplinary Referrals: Liquor Law Violations2013",255,254,0,2,
"Stalking",2013,4,1,0,0
"Dating Violence",2013,1,1,0,0
"Domestic Violence",2013,0,0,0,0
"Hate Crimes",2011,0,0,0,0
"Hate Crimes",2012,0,0,0,0
"Hate Crimes",2013,0,0,0,0
