"Residence Hall","911 Address","Fire Detection System","Sprinkler System","Fire Extinguishers","Redundant Monitoring"
"Blue Ridge Hall","449 Dinkel Avenue","Yes","No","Yes","Yes"
"Daleville Hall","451 Dinkel Avenue","Yes","No","Yes","Yes"
"Dillon Hall","461 Dinkel Avenue","Yes","No","Yes","Yes"
"Geisert Hall","400 Dinkel Avenue","Yes","No","Yes","Yes"
"Heritage Hall","401 Dinkel Avenue","Yes","No","Yes","Yes"
"Wakeman Hall","460 Dinkel Avenue","Yes","No","Yes","Yes"
"Wright Hall","110 3rd Street","Yes","Yes","Yes","Yes"
"Wright Hall East Link","110 3rd Street","Yes","Yes","Yes","Yes"
"Wright Hall West Link","110 3rd Street","Yes","Yes","Yes","Yes"
"Wampler Apts. Tower A","440 Dinkel Avenue","Yes","Yes","Yes","Yes"
"Wampler Apts. Tower B","440 Dinkel Avenue","Yes","Yes","Yes","Yes"
"Wampler Apts. Tower C","440 Dinkel Avenue","Yes","Yes","Yes","Yes"
"Wampler Apts. Tower D","450 Dinkel Avenue","Yes","Yes","Yes","Yes"
"Stone Village 424","424 East College Street","Yes","Yes","Yes","Yes"
"Stone Village 428","428 East College Street","Yes","Yes","Yes","Yes"
"Stone Village 432 (Strickler)","432 East College Street","Yes","Yes","Yes","Yes"
"Stone Village 436","436 East College Street","Yes","Yes","Yes","Yes"
"Stone Village 440","440 East College Street","Yes","Yes","Yes","Yes"
"Stone Village 444","444 East College Street","Yes","Yes","Yes","Yes"
"Honor House 305","305 East College Street","Yes","Yes","Yes","Yes"
"Honor House 307","307 East College Street","Yes","Yes","Yes","Yes"
"Honor House 308","308 East College Street","Yes","Yes","Yes","Yes"
"Honor House 418","418 East College Street","Yes","Yes","Yes","Yes"
"Honor House 420","420 East College Street","Yes","Yes","Yes","Yes"
"Honor House 425","425 East College Street","Yes","Yes","Yes","Yes"
"Honor House 427","427 East College Street","Yes","Yes","Yes","Yes"
"Honor House 429","429 East College Street","Yes","Yes","Yes","Yes"
"Honor House 431","431 East College Street","Yes","Yes","Yes","Yes"
"102 North 2nd Street Apartments","102 North 2nd Street","Yes","Yes","Yes","Yes"
