"Residence Hall","911 Address","2011 Fires","Damage Amount ($)","2012 Fires","Damage Amount ($)","2013 Fires","Damage Amount ($)"
"Blue Ridge Hall","449 Dinkel Avenue",0,0,0,0,0,0
"Daleville Hall","451 Dinkel Avenue",0,0,0,0,0,0
"Dillon Hall","461 Dinkel Avenue",0,0,0,0,0,0
"Geisert Hall","400 Dinkel Avenue",0,0,0,0,0,0
"Heritage Hall","401 Dinkel Avenue",0,0,0,0,0,0
"Wakeman Hall","460 Dinkel Avenue",0,0,0,0,0,0
"Wright Hall","110 3rd Street",0,0,0,0,0,0
"Wright Hall East Link","110 3rd Street",0,0,0,0,0,0
"Wright Hall West Link","110 3rd Street",0,0,0,0,0,0
"Wampler Apts. Tower A","440 Dinkel Avenue",0,0,0,0,0,0
"Wampler Apts. Tower B","440 Dinkel Avenue",0,0,0,0,0,0
"Wampler Apts. Tower C","440 Dinkel Avenue",0,0,0,0,0,0
"Wampler Apts. Tower D","450 Dinkel Avenue",0,0,0,0,0,0
"Stone Village 424","424 East College Street",0,0,0,0,0,0
"Stone Village 428","428 East College Street",0,0,0,0,0,0
"Stone Village 432 (Strickler)","432 East College Street",0,0,0,0,0,0
"Stone Village 436","436 East College Street",0,0,0,0,0,0
"Stone Village 440","440 East College Street",0,0,0,0,0,0
"Stone Village 444","444 East College Street",0,0,0,0,0,0
"Honor House 305","305 East College Street",0,0,0,0,0,0
"Honor House 307","307 East College Street",0,0,0,0,0,0
"Honor House 308","308 East College Street",0,0,0,0,0,0
"Honor House 309","309 East College Street",0,0,0,0,0,0
"Honor House 418","418 East College Street",0,0,0,0,0,0
"Honor House 420","420 East College Street",0,0,0,0,0,0
"Honor House 429","429 East College Street",0,0,0,0,0,0
"Honor House 431","431 East College Street",0,0,0,0,0,0
"102 North 2nd Street Apartments","102 North 2nd Street",0,0,0,0,0,0
