Name: “Table 1 of 1 on page 109 of 114”,Name: “Table 1 of 1 on page 109 of 114”,Name: “Table 1 of 1 on page 109 of 114”,Name: “Table 1 of 1 on page 109 of 114”,Name: “Table 1 of 1 on page 109 of 114”,Name: “Table 1 of 1 on page 109 of 114”,Name: “Table 1 of 1 on page 109 of 114”,Name: “Table 1 of 1 on page 109 of 114”
Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107
,,,,,,,
,,,,,,Appendices,Appendices
Appendix 2,,,,,,,
Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,,,,
Offenses Against the Person,,,,,,,
Reasons for AAGGGGRRAAVVA TION,Assault,Homicide,Kidnapping,Robbery,Rape,Sexual,Assault
,(N=191),(N=50),(N=24),(N=120),(N=18),(N=113),(N=113)
No reason given,26,7,2,19,3,21,
Offender is sentenced to an alt. punishment to incarceration,3,0,0,2,0,0,
Offender failed to cooperate with authorities,0,0,0,2,0,0,
Violent/disruptive behavior in custody,3,1,0,0,0,0,
Absconded from probation supervision,0,0,0,0,0,0,
Displayed disrespect for authority while on probation,1,0,0,0,0,0,
New offenses were committed while on probation,1,0,0,3,0,3,
Poor conduct since commission of offense,1,0,1,0,0,0,
Aggravating circumstances/flagrancy of offense,36,14,8,24,2,29,
Gang-related offense,2,0,0,2,0,0,
Number of violations/counts in the event,1,0,0,2,0,3,
Offense involved a high degree of planning/violation of trust,2,2,1,2,1,7,
True offense behavior was more serious than offenses at conv.,3,4,0,1,0,3,
Aggravating court circumstances/proceedings,1,0,0,1,0,0,
Sentence recommended by Commonwealth Attorney,3,0,0,1,0,0,
Jury sentence,17,11,4,18,9,5,
Current offense involves drugs/alcohol,2,5,0,1,0,1,
Offender's substance abuse issues,0,4,0,0,0,0,
"Financial obligations (restitution, child support, etc.)",1,0,0,0,0,0,
Sentencing guidelines recommendation not appropriate,10,0,2,1,0,2,
Mandatory minimum involved in event,3,0,0,0,0,0,
Prior record not adequately weighed by guidelines,10,0,1,2,0,1,
Judge rounded guidelines minimum to nearest whole year,0,0,0,1,0,1,
Sentencing guidelines recommendation issue,0,0,1,0,0,0,
Guidelines recommendation is too low,7,2,2,7,0,9,
"Judicial discretion (time served, shock incarceration, etc.)",3,0,0,5,0,4,
Offender was the leader,0,1,0,0,0,0,
"Offender issues (age of offender, lacks family support, etc.)",1,0,1,1,0,2,
Seriousness of offense,5,3,2,10,0,6,
Plea agreement,26,5,1,8,1,21,
Offender has extensive record or same type of prior offense,26,5,1,12,0,4,
Offender has poor rehabilitation potential,16,3,2,11,2,11,
"Victim circumstances (facts of the case, etc.)",0,0,0,6,0,1,
"Degree of victim injury (physical, emotional, etc.)",41,4,1,10,0,4,
Offender violated protective order or was stalking,0,0,0,1,0,0,
"Type of victim (child, etc.)",9,1,3,8,4,23,
Victim request,0,0,1,3,1,0,
Degree of violence toward victim,17,3,1,10,0,0,
Offender used a weapon in commission of the offense,4,0,0,3,0,0,
Other aggravating reasons,0,0,0,1,0,0,
Note: Figures indicate the number of times a departure reason was cited.,,,,,,,
"Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.",,,,
,,,,,,,109
