Name: “Table 1 of 1 on page 107 of 114”,Name: “Table 1 of 1 on page 107 of 114”,Name: “Table 1 of 1 on page 107 of 114”,Name: “Table 1 of 1 on page 107 of 114”,Name: “Table 1 of 1 on page 107 of 114”,Name: “Table 1 of 1 on page 107 of 114”,Name: “Table 1 of 1 on page 107 of 114”,Name: “Table 1 of 1 on page 107 of 114”,Name: “Table 1 of 1 on page 107 of 114”,Name: “Table 1 of 1 on page 107 of 114”,Name: “Table 1 of 1 on page 107 of 114”,Name: “Table 1 of 1 on page 107 of 114”
Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105
,,,,,,,,,,,
,,,,,,,,,,,Appendices
Appendix 1,Appendix 1,Appendix 1,,,,,,,,,
Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,,,,,,
"Property, Drug and Miscellaneous Offenses","Property, Drug and Miscellaneous Offenses","Property, Drug and Miscellaneous Offenses","Property, Drug and Miscellaneous Offenses",,,,,,,,
,,,Burg. of,Burg. Other,Sch. I/II,Other,,,,,
Reasons,for,AAGGGGRRAAVVA TION,Dwelling,Structure,Drugs,Drugs,Fraud,Larceny,Misc,Traffic,Weapon
,,,(N=136),(N=43),(N=806),(N=141),(N=165),(N=431),(N=38),(N=270),(N=68)
No reason given,No reason given,No reason given,17,7,175,38,38,89,11,54,11
Illegible written reason,Illegible written reason,Illegible written reason,0,0,1,0,1,1,0,1,0
Offender is sentenced to an alternative punishment,Offender is sentenced to an alternative punishment,Offender is sentenced to an alternative punishment,5,4,52,3,13,31,0,22,0
Offender failed to cooperate with authorities,Offender failed to cooperate with authorities,Offender failed to cooperate with authorities,0,0,11,1,0,2,1,2,0
Violent/disruptive behavior in custody,Violent/disruptive behavior in custody,Violent/disruptive behavior in custody,1,0,4,0,1,2,0,1,0
Absconded from probation supervision,Absconded from probation supervision,Absconded from probation supervision,0,0,6,1,0,5,1,0,0
Displayed disrespect for authority while on probation,Displayed disrespect for authority while on probation,Displayed disrespect for authority while on probation,0,0,1,0,0,0,0,0,0
"Used, etc., drugs/alcohol while on probation","Used, etc., drugs/alcohol while on probation","Used, etc., drugs/alcohol while on probation",3,1,10,1,0,4,0,1,0
Failed to follow instructions while on probation,Failed to follow instructions while on probation,Failed to follow instructions while on probation,1,0,16,0,0,3,0,0,0
New offenses were committed while on probation,New offenses were committed while on probation,New offenses were committed while on probation,2,0,16,1,3,8,1,3,0
Poor conduct since commission of offense,Poor conduct since commission of offense,Poor conduct since commission of offense,1,0,11,0,3,4,0,3,1
Aggravating facts involving the breaking and entering,Aggravating facts involving the breaking and entering,Aggravating facts involving the breaking and entering,13,2,0,0,0,0,0,0,0
Aggravating circumstances/flagrancy of offense,Aggravating circumstances/flagrancy of offense,Aggravating circumstances/flagrancy of offense,23,4,38,9,17,36,7,33,13
Gang-related offense,Gang-related offense,Gang-related offense,0,0,3,0,1,4,0,0,2
Child present at time of offense,Child present at time of offense,Child present at time of offense,0,0,2,0,0,2,0,0,0
Extreme property or monetary loss,Extreme property or monetary loss,Extreme property or monetary loss,3,1,5,0,6,35,0,0,0
Number of violations/counts in the event,Number of violations/counts in the event,Number of violations/counts in the event,2,2,5,3,3,9,0,8,0
Offense involved a high degree of planning/violation of trust,Offense involved a high degree of planning/violation of trust,Offense involved a high degree of planning/violation of trust,6,1,4,0,8,21,1,5,1
True offense behavior was more serious than offenses at conviction,True offense behavior was more serious than offenses at conviction,True offense behavior was more serious than offenses at conviction,2,2,13,1,2,8,2,0,1
Aggravating court circumstances/proceedings,Aggravating court circumstances/proceedings,Aggravating court circumstances/proceedings,1,0,9,1,4,1,1,1,0
Sentence recommended by Commonwealth Attorney,Sentence recommended by Commonwealth Attorney,Sentence recommended by Commonwealth Attorney,1,0,6,1,0,0,0,2,1
Jury sentence,Jury sentence,Jury sentence,7,1,33,5,4,12,3,11,5
Current offense involves drugs/alcohol,Current offense involves drugs/alcohol,Current offense involves drugs/alcohol,1,0,54,14,1,3,1,18,1
Offender's substance abuse issues,Offender's substance abuse issues,Offender's substance abuse issues,0,3,34,7,2,10,0,10,0
"Financial obligations (restitution, child support, etc.)","Financial obligations (restitution, child support, etc.)","Financial obligations (restitution, child support, etc.)",1,0,1,0,4,6,0,2,0
Judge thought sentence was in compliance,Judge thought sentence was in compliance,Judge thought sentence was in compliance,0,0,2,0,0,1,1,1,0
