Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename:  reportingrace.csv,,,,,,,,,,,,,,,,
Title: Percent of crime reported to the police by race of victim,,,,,,,,,,,,,,,,
data source: National Crime Victimization Survey (NCVS),,,,,,,,,,,,,,,,
Author:  Michael Rand,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,
date of version: 4/30/2010,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Percent of crime reported to the police by race of victim,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Violent crime,,,,,,,,Property crime*,,,,,
,Total,,White,,Black,,Other,,Total,,White,,Black,,Other,
Average total,45,%,48.3,%,51,%,45.1,%,35.7,%,35.4,%,37.7,%,36.2,%
1992-1993,42.7,,40.6,,53.4,,47.2,,33.4,,33.3,,34.6,,29.4,
1994-1995,41.2,,40.1,,47.9,,37.8,,33.4,,32.9,,36.3,,33.8,
1996-1997,43.6,,42.5,,49.6,,43.8,,34.9,,34.8,,36.6,,29.9,
1998-1999,45,,44.3,,47.9,,48.9,,34.6,,34.6,,35,,32.6,
2000-2001,48.6,,47.9,,52.8,,45,,36.4,,36.2,,38.3,,33.2,
2002-2003,48,,46.8,,53.7,,55.1,,39.3,,38.6,,43.4,,38.9,
2004-2005,48.7,,47.8,,52.3,,55.5,,39.3,,39,,43.5,,41.1,
2006-2007,48.3,,47,,53.7,,41.9,,37.9,,37.4,,38.3,,53.5,
,,,,,,,,,,,,,,,,
*by race of household head.,,,,,,,,,,,,,,,,
"Note:  Violent crimes include: rape/sexual assault, robbery, aggravated and simple assault.",,,,,,,,,,,,,,,,
"Property crimes include: household burglary, theft, and motor vehicle theft.",,,,,,,,,,,,,,,,
Two year average percentages are presented to minimize year to year fluctuations that may be present because of declining sample sizes.,,,,,,,,,,,,,,,,
"See Criminal Victimization, 2005 NCJ-214644.",,,,,,,,,,,,,,,,
"Source: The National Crime Victimization Survey (NCVS). Ongoing since 1972, ",,,,,,,,,,,,,,,,
"this survey of households interviews about 134,000 persons age 12 and older in ",,,,,,,,,,,,,,,,
"77,200 households each year about their victimizations from crime. ",,,,,,,,,,,,,,,,
