Bureau of Justice Statistics,,,,
Filename:  reportingtype.csv,,,,
Title: Percent of total crime reported to police,,,,
data source: National Crime Victimization Survey (NCVS),,,,
Author:  Michael Rand,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,
date of version:  09/10/07,,,,
,,,,
Percent of total crime reported to police,,,,
,,,,
,Violent crime,,Property crime,
Average,44.7,%,35.5,%
,,,,
1992-1993,42.7,,33.4,
1994-1995,41.2,,33.4,
1996-1997,43.6,,34.9,
1998-1999,45,,34.6,
2000-2001,48.6,,36.4,
2002-2003,48,,39.3,
2004-2005,48.7,,39.3,
2006-2007,48.3,,37.9,
"Note: Violent crimes include: rape/sexual assault, robbery, aggravated and simple assault. Property crimes include: household burglary, theft, and motor vehicle theft.",,,,
"Two year average percentages are presented to minimize year to year fluctuations that may be present because of declining sample sizes. For additional information about the methods used, see Criminal Victimization, 2007.",,,,
"Source: The National Crime Victimization Survey (NCVS).Ongoing since 1972, this survey of households interviews about 147,300 persons age 12 and older in 82,900 households each year about their victimizations from crime. ",,,,
