Name: “Table 1 of 1 on page 54 of 57”,Name: “Table 1 of 1 on page 54 of 57”,Name: “Table 1 of 1 on page 54 of 57”,Name: “Table 1 of 1 on page 54 of 57”,Name: “Table 1 of 1 on page 54 of 57”,Name: “Table 1 of 1 on page 54 of 57”,Name: “Table 1 of 1 on page 54 of 57”,Name: “Table 1 of 1 on page 54 of 57”,Name: “Table 1 of 1 on page 54 of 57”,Name: “Table 1 of 1 on page 54 of 57”
Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54
,,,,,,,,,
,,,APPENDIX E,APPENDIX E,APPENDIX E,APPENDIX E,,,
Lynchburg City,Lynchburg City,Lynchburg City,,Western,Western,,,Southwest,
Madison County,Madison County,Madison County,,Northern,Northern,,,Northwest,
Manassas City,Manassas City,Manassas City,,Northern,Northern,,,Northern,
Manassas Park City,Manassas Park City,Manassas Park City,,Northern,Northern,,,Northern,
Martinsville City,Martinsville City,Martinsville City,,Western,Western,,,Southwest,
Mathews County,Mathews County,Mathews County,,Central,Central,,,Eastern,
Mecklenburg County,Mecklenburg County,Mecklenburg County,,Central,Central,,,Central,
Middlesex County,Middlesex County,Middlesex County,,Central,Central,,,Eastern,
Montgomery County,Montgomery County,Montgomery County,,Western,Western,,,Southwest,
Nelson County,Nelson County,Nelson County,,Central,Central,,,Northwest,
New Kent County,New Kent County,New Kent County,,Central,Central,,,Central,
Newport News City,Newport News City,Newport News City,,Tidewater,Tidewater,,,Eastern,
Norfolk City,Norfolk City,,,Tidewater,Tidewater,,,Eastern,
Northampton County,Northampton County,Northampton County,,Tidewater,Tidewater,,,Eastern,
Northumberland County,Northumberland County,Northumberland County,,Central,Central,,,Eastern,
Nottoway County,Nottoway County,Nottoway County,,Central,Central,,,Central,
Orange County,Orange County,Orange County,,Northern,Northern,,,Northwest,
Page County,Page County,,,Northern,Northern,,,Northwest,
Patrick County,Patrick County,Patrick County,,Western,Western,,,Southwest,
Petersburg City,Petersburg City,Petersburg City,,Central,Central,,,Central,
Pittsylvania County,Pittsylvania County,Pittsylvania County,,Western,Western,,,Southwest,
Poquoson City,Poquoson City,Poquoson City,,Tidewater,Tidewater,,,Eastern,
Portsmouth City,Portsmouth City,Portsmouth City,,Tidewater,Tidewater,,,Eastern,
Powhatan County,Powhatan County,Powhatan County,,Central,Central,,,Central,
Prince Edward County,Prince Edward County,Prince Edward County,,Central,Central,,,Central,
Prince George County,Prince George County,Prince George County,,Central,Central,,,Central,
Prince William County,Prince William County,Prince William County,,Northern,Northern,,,Northern,
Pulaski County,Pulaski County,Pulaski County,,Western,Western,,,Southwest,
Radford City,Radford City,,,Western,Western,,,Southwest,
Rappahannock County,Rappahannock County,Rappahannock County,,Northern,Northern,,,Northwest,
Richmond City,Richmond City,Richmond City,,Central,Central,,,Central,
Richmond County,Richmond County,Richmond County,,Central,Central,,,Eastern,
Roanoke City,Roanoke City,Roanoke City,,Western,Western,,,Southwest,
Roanoke County,Roanoke County,Roanoke County,,Western,Western,,,Southwest,
Rockbridge County,Rockbridge County,Rockbridge County,,Western,Western,,,Northwest,
Rockingham County,Rockingham County,Rockingham County,,Western,Western,,,Northwest,
Russell County,Russell County,Russell County,,Western,Western,,,Southwest,
Salem City,Salem City,,,Western,Western,,,Southwest,
Scott County,Scott County,,,Western,Western,,,Southwest,
VIRGINIA,STATE,CHILD,FATALITY,REVIEW,TEAM,–,MARCH,2014,Page 46
