Name: “Table 1 of 1 on page 52 of 57”,Name: “Table 1 of 1 on page 52 of 57”,Name: “Table 1 of 1 on page 52 of 57”,Name: “Table 1 of 1 on page 52 of 57”,Name: “Table 1 of 1 on page 52 of 57”,Name: “Table 1 of 1 on page 52 of 57”,Name: “Table 1 of 1 on page 52 of 57”,Name: “Table 1 of 1 on page 52 of 57”,Name: “Table 1 of 1 on page 52 of 57”,Name: “Table 1 of 1 on page 52 of 57”
Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52
,,,,,,,,,
,,,APPENDIX E,APPENDIX E,APPENDIX E,APPENDIX E,,,
Virginia Localities by Medical Examiner District and Health Planning Region,Virginia Localities by Medical Examiner District and Health Planning Region,Virginia Localities by Medical Examiner District and Health Planning Region,Virginia Localities by Medical Examiner District and Health Planning Region,Virginia Localities by Medical Examiner District and Health Planning Region,Virginia Localities by Medical Examiner District and Health Planning Region,Virginia Localities by Medical Examiner District and Health Planning Region,Virginia Localities by Medical Examiner District and Health Planning Region,Virginia Localities by Medical Examiner District and Health Planning Region,
LOCALITY,LOCALITY,,MEDICAL EXAMINER,MEDICAL EXAMINER,MEDICAL EXAMINER,MEDICAL EXAMINER,HEALTH PLANNING,HEALTH PLANNING,
,,,DISTRICT (OCME),DISTRICT (OCME),DISTRICT (OCME),DISTRICT (OCME),,REGION,
Accomack County,Accomack County,Accomack County,,Tidewater,Tidewater,,,Eastern,
Albemarle County,Albemarle County,Albemarle County,,Central,Central,,,Northwest,
Alexandria City,Alexandria City,Alexandria City,,Northern,Northern,,,Northern,
Alleghany County,Alleghany County,Alleghany County,,Western,Western,,,Southwest,
Amelia County,Amelia County,Amelia County,,Central,Central,,,Central,
Amherst County,Amherst County,Amherst County,,Western,Western,,,Southwest,
Appomattox County,Appomattox County,Appomattox County,,Western,Western,,,Southwest,
Arlington County,Arlington County,Arlington County,,Northern,Northern,,,Northern,
Augusta County,Augusta County,Augusta County,,Western,Western,,,Northwest,
Bath County,Bath County,,,Western,Western,,,Northwest,
Bedford City,Bedford City,Bedford City,,Western,Western,,,Southwest,
Bedford County,Bedford County,Bedford County,,Western,Western,,,Southwest,
Bland County,Bland County,Bland County,,Western,Western,,,Southwest,
Botetourt County,Botetourt County,Botetourt County,,Western,Western,,,Southwest,
Bristol City,Bristol City,,,Western,Western,,,Southwest,
Brunswick County,Brunswick County,Brunswick County,,Central,Central,,,Central,
Buchanan County,Buchanan County,Buchanan County,,Western,Western,,,Southwest,
Buckingham County,Buckingham County,Buckingham County,,Central,Central,,,Central,
Buena Vista City,Buena Vista City,Buena Vista City,,Western,Western,,,Northwest,
Campbell County,Campbell County,Campbell County,,Western,Western,,,Southwest,
Caroline County,Caroline County,Caroline County,,Central,Central,,,Northwest,
Carroll County,Carroll County,Carroll County,,Western,Western,,,Southwest,
Charles City County,Charles City County,Charles City County,,Central,Central,,,Central,
Charlotte County,Charlotte County,Charlotte County,,Central,Central,,,Central,
Charlottesville City,Charlottesville City,Charlottesville City,,Central,Central,,,Northwest,
Chesapeake City,Chesapeake City,Chesapeake City,,Tidewater,Tidewater,,,Eastern,
Chesterfield County,Chesterfield County,Chesterfield County,,Central,Central,,,Central,
Clarke County,Clarke County,Clarke County,,Northern,Northern,,,Northwest,
Colonial Heights City,Colonial Heights City,Colonial Heights City,,Central,Central,,,Central,
Covington City,Covington City,Covington City,,Western,Western,,,Southwest,
Craig County,Craig County,Craig County,,Western,Western,,,Southwest,
Culpeper County,Culpeper County,Culpeper County,,Northern,Northern,,,Northwest,
Cumberland County,Cumberland County,Cumberland County,,Central,Central,,,Central,
Danville City,Danville City,Danville City,,Western,Western,,,Southwest,
Dickenson County,Dickenson County,Dickenson County,,Western,Western,,,Southwest,
VIRGINIA,STATE,CHILD,FATALITY,REVIEW,TEAM,–,MARCH,2014,Page 44
