Name: “Table 1 of 1 on page 53 of 57”,Name: “Table 1 of 1 on page 53 of 57”,Name: “Table 1 of 1 on page 53 of 57”,Name: “Table 1 of 1 on page 53 of 57”,Name: “Table 1 of 1 on page 53 of 57”,Name: “Table 1 of 1 on page 53 of 57”,Name: “Table 1 of 1 on page 53 of 57”,Name: “Table 1 of 1 on page 53 of 57”,Name: “Table 1 of 1 on page 53 of 57”,Name: “Table 1 of 1 on page 53 of 57”
Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53
,,,,,,,,,
,,,APPENDIX E,APPENDIX E,APPENDIX E,APPENDIX E,,,
Dinwiddie County,Dinwiddie County,Dinwiddie County,,Central,Central,,,Central,
Emporia City,Emporia City,Emporia City,,Central,Central,,,Central,
Essex County,Essex County,Essex County,,Central,Central,,,Eastern,
Fairfax City,Fairfax City,,,Northern,Northern,,,Northern,
Fairfax County,Fairfax County,Fairfax County,,Northern,Northern,,,Northern,
Falls Church City,Falls Church City,Falls Church City,,Northern,Northern,,,Northern,
Fauquier County,Fauquier County,Fauquier County,,Northern,Northern,,,Northwest,
Floyd County,Floyd County,Floyd County,,Western,Western,,,Southwest,
Fluvanna County,Fluvanna County,Fluvanna County,,Central,Central,,,Northwest,
Franklin City,Franklin City,Franklin City,,Tidewater,Tidewater,,,Eastern,
Franklin County,Franklin County,Franklin County,,Western,Western,,,Southwest,
Frederick County,Frederick County,Frederick County,,Northern,Northern,,,Northwest,
Fredericksburg City,Fredericksburg City,Fredericksburg City,,Central,Central,,,Northwest,
Galax City,Galax City,,,Western,Western,,,Southwest,
Giles County,Giles County,Giles County,,Western,Western,,,Southwest,
Gloucester County,Gloucester County,Gloucester County,,Central,Central,,,Eastern,
Goochland County,Goochland County,Goochland County,,Central,Central,,,Central,
Grayson County,Grayson County,Grayson County,,Western,Western,,,Southwest,
Greene County,Greene County,Greene County,,Central,Central,,,Northwest,
Greensville County,Greensville County,Greensville County,,Central,Central,,,Central,
Halifax County,Halifax County,Halifax County,,Central,Central,,,Central,
Hampton City,Hampton City,Hampton City,,Tidewater,Tidewater,,,Eastern,
Hanover County,Hanover County,Hanover County,,Central,Central,,,Central,
Harrisonburg City,Harrisonburg City,Harrisonburg City,,Western,Western,,,Northwest,
Henrico County,Henrico County,Henrico County,,Central,Central,,,Central,
Henry County,Henry County,Henry County,,Western,Western,,,Southwest,
Highland County,Highland County,Highland County,,Western,Western,,,Northwest,
Hopewell City,Hopewell City,Hopewell City,,Central,Central,,,Central,
Isle of Wight County,Isle of Wight County,Isle of Wight County,,Tidewater,Tidewater,,,Eastern,
James City County,James City County,James City County,,Central,Central,,,Eastern,
King and Queen County,King and Queen County,King and Queen County,,Central,Central,,,Eastern,
King George County,King George County,King George County,,Central,Central,,,Northwest,
King William County,King William County,King William County,,Central,Central,,,Eastern,
Lancaster County,Lancaster County,Lancaster County,,Central,Central,,,Eastern,
Lee County,Lee County,,,Western,Western,,,Southwest,
Lexington City,Lexington City,Lexington City,,Western,Western,,,Northwest,
Loudoun County,Loudoun County,Loudoun County,,Northern,Northern,,,Northern,
Louisa County,Louisa County,Louisa County,,Central,Central,,,Northwest,
Lunenburg County,Lunenburg County,Lunenburg County,,Central,Central,,,Central,
VIRGINIA,STATE,CHILD,FATALITY,REVIEW,TEAM,–,MARCH,2014,Page 45
