Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”,Name: “Table 1 of 1 on page 17 of 17”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,,,,,
,,"Jail and Anthem Reports of Inmate and Hospitalization Data, FY13","Jail and Anthem Reports of Inmate and Hospitalization Data, FY13","Jail and Anthem Reports of Inmate and Hospitalization Data, FY13","Jail and Anthem Reports of Inmate and Hospitalization Data, FY13","Jail and Anthem Reports of Inmate and Hospitalization Data, FY13","Jail and Anthem Reports of Inmate and Hospitalization Data, FY13","Jail and Anthem Reports of Inmate and Hospitalization Data, FY13",,
,,,Jail,Jail,Jail,Anthem,Anthem,,,
,,,,,,,,Average cost,Potentially,
Jail,,FY13 Number,,FY13 Number,,# Inmates with,Total Cost,per hospitalized,Medicaid,
Number,Jail Name,,Disabled,Pregnant,FY13 65+,Hospitalizations,Hospitalizations,inmate in FY13,Eligible Cost,notes:
460,PAMUNKEY REGIONAL JAIL,,,,,7,"89,806.42","12,829.49",-,
141,PATRICK COUNTY JAIL,,,,,,,-,-,
730,PETERSBURG CITY JAIL,,0,0,0,1,"10,048.00","10,048.00",-,
490,PEUMANSEND CREEK REGIONAL,,0,0,0,1,"8,032.33","8,032.33",-,
135,PIEDMONT REGIONAL JAIL,,0,0,0,3,"135,032.52","45,010.84",-,
143,PITTSYLVANIA COUNTY JAIL,,,,,1,"8,446.01","8,446.01",-,
740,PORTSMOUTH CITY JAIL,,,,,,,-,-,
153,PR. WILLIAM/MANASSAS REGIONAL,,,,,,,-,-,
157,RAPPAHANNOCK COUNTY JAIL,,,,,,,-,-,not anthem
630,RAPPAHANNOCK REGIONAL JAIL,,,,3,5,"51,093.99","10,218.80","30,656.39",
760,RICHMOND CITY JAIL,,,,,,,-,-,not anthem
465,RIVERSIDE REGIONAL JAIL,,,,,7,"139,343.17","19,906.17",-,
770,ROANOKE CITY JAIL,,,,,,,-,-,
