Name: “Table 1 of 1 on page 38 of 102”,Name: “Table 1 of 1 on page 38 of 102”,Name: “Table 1 of 1 on page 38 of 102”,Name: “Table 1 of 1 on page 38 of 102”,Name: “Table 1 of 1 on page 38 of 102”,Name: “Table 1 of 1 on page 38 of 102”,Name: “Table 1 of 1 on page 38 of 102”,Name: “Table 1 of 1 on page 38 of 102”
Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38
,,,,,,,
"Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004","Table 11. Accidental Deaths by Locality of Death by Year of Death, 1999-2004"
,,~continued,,,,,
,,,Year of Death,Year of Death,Year of Death,,
Locality of Death,1999,2000,2001,2002,2003,2004,Total
Goochland,3,4,3,2,8,2,22
Grayson,6,7,2,3,4,8,30
Greene,6,3,2,5,3,8,27
Greensville,3,4,1,2,3,5,18
Halifax,22,16,16,18,16,26,114
Hampton,25,17,19,21,33,24,139
Hanover,20,27,13,16,25,35,136
Harrisonburg,14,19,6,11,10,12,72
Henrico,40,51,50,59,65,64,329
Henry,7,6,8,8,17,13,59
Highland,3,2,2,0,0,0,7
Hopewell,7,6,14,5,3,5,40
Isle of Wight,8,7,10,4,13,7,49
James City,4,7,4,7,11,10,43
King & Queen,2,2,0,3,3,3,13
King George,4,1,2,8,5,4,24
King William,2,4,5,14,3,2,30
Lancaster,11,8,5,9,4,3,40
Lee,8,14,13,6,23,17,81
Lexington,10,4,1,5,1,4,25
Loudoun,15,16,25,15,26,35,132
Louisa,7,11,8,12,7,14,59
Lunenburg,7,4,2,8,2,5,28
Lynchburg,39,42,39,40,45,50,255
Madison,2,2,2,4,5,5,20
Manassas,15,10,12,12,14,14,77
Martinsville,17,13,24,15,17,20,106
Mathews,2,1,3,2,4,0,12
Mecklenburg,13,14,12,13,13,12,77
Middlesex,5,2,4,6,4,5,26
Montgomery,29,21,29,22,22,24,147
Nelson,5,5,5,9,7,4,35
New Kent,2,6,7,2,8,2,27
Newport News,56,56,52,52,56,54,326
Norfolk,114,127,144,138,105,129,757
Northampton,9,7,13,10,10,11,60
Northumberland,0,3,2,1,3,1,10
Norton,6,5,6,5,5,11,38
Nottoway,7,3,6,2,10,5,33
Orange,7,4,6,10,6,9,42
Page,3,10,10,7,7,5,42
Patrick,4,6,8,7,6,20,51
Petersburg,19,18,10,18,13,7,85
Pittsylvania,8,12,21,21,7,14,83
Poquoson,3,0,2,0,0,2,7
Portsmouth,24,23,24,24,27,34,156
Powhatan,0,2,5,3,8,2,20
Prince Edward,2,7,11,4,8,7,39
Prince George,3,9,7,8,5,10,42
Prince William,20,38,36,36,42,34,206
Pulaski,11,8,18,20,14,13,84
Radford,2,3,1,3,0,2,11
Rappahannock,1,0,1,1,3,3,9
Richmond City,166,200,188,179,225,203,1161
,"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005","Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",,
,,Page 32,,,,,
