Name: “Table 1 of 1 on page 94 of 102”,Name: “Table 1 of 1 on page 94 of 102”
Table: 94,Table: 94
,
"Table 30. Drug/Physiologically Active Compounds Present in Decedents, 2004","Table 30. Drug/Physiologically Active Compounds Present in Decedents, 2004"
~continued,
Drug/Compound,Total
CLONAZEPAM,5
PHENYTOIN,2
VALPROIC,3
Anti-Convulsant Total,13
Anti-Depressant,
AMITRIPTYLINE,34
BUPROPION (WELLBUTRIN),9
CITALOPRAM,35
CLOMIPRAMINE,2
DESALKYFLURAZEPAM,1
DESIPRAMINE,1
DOXEPIN,4
FLUOXETINE,17
FLUVOXAMINE,1
IMIPRAMINE,1
MIRTAZAPINE,7
NORDOXEPIN,1
NORFLUOXETINE,1
NORTRIPTYLENE,33
NORVENLAFAXINE,1
OLANZAPINE,9
PAROXETINE,10
SERTRALINE,17
TRAZODONE,20
VENLAFAXINE,11
ZOLPIDEM,5
Anti-Depressant Total,220
Barbituate,
BUTALBITAL,10
PENTOBARBITAL,1
PHENOBARBITAL,1
Barbituate Total,12
Cannaboid,
TETRAHYDROCANNABINOL,4
Cannaboid Total,4
Major Tranquilizer,
PHENCYCLIDINE,1
QUETIAPINE,11
THIORIDAZINE,1
Major Tranquilizer Total,13
Minor Tranquilizer,
ALPRAZOLAM,53
CARISOPRODOL,6
CHLORDIAZEPOXIDE,3
DIAZEPAM,65
DIPHENHYDRAMINE,52
LORAZEPAM,1
MEPROBAMATE,7
NORDIAZEPAM,68
"Virginia Department of Health, Office of the Chief Medical Examiner ♦ December 2005",
Page 88,
